PhysicalX(mm),PhysicalY(mm),MaxAmplitude(dBm)
-16.048,93.733,-89.392
-12.979,93.733,-89.592
-9.910,93.733,-89.978
-6.841,93.733,-88.412
-3.773,93.733,-89.671
-0.704,93.733,-90.301
2.365,93.733,-89.351
5.433,93.733,-89.790
8.502,93.733,-91.477
11.571,93.733,-91.594
14.640,93.733,-91.727
17.708,93.733,-91.568
20.777,93.733,-92.490
23.846,93.733,-91.983
26.915,93.733,-93.232
29.983,93.733,-92.734
33.052,93.733,-93.564
36.121,93.733,-93.646
39.189,93.733,-93.432
42.258,93.733,-87.390
45.327,93.733,-93.531
48.396,93.733,-93.827
51.464,93.733,-93.577
54.533,93.733,-94.495
57.602,93.733,-87.819
60.671,93.733,-94.490
63.739,93.733,-88.746
66.808,93.733,-85.102
69.877,93.733,-93.583
72.945,93.733,-95.296
76.014,93.733,-94.249
79.083,93.733,-94.178
82.152,93.733,-93.681
85.220,93.733,-86.206
88.289,93.733,-93.742
91.358,93.733,-94.368
94.427,93.733,-88.426
97.495,93.733,-92.165
100.564,93.733,-94.615
103.633,93.733,-93.373
106.702,93.733,-91.036
109.770,93.733,-91.745
112.839,93.733,-92.393
115.908,93.733,-92.842
118.976,93.733,-87.032
122.045,93.733,-92.630
125.114,93.733,-92.100
128.183,93.733,-91.211
131.251,93.733,-86.507
134.320,93.733,-92.259
137.389,93.733,-90.906
140.458,93.733,-89.868
143.526,93.733,-90.382
146.595,93.733,-92.089
149.664,93.733,-92.424
152.732,93.733,-85.943
155.801,93.733,-91.179
158.870,93.733,-91.061
161.939,93.733,-89.449
165.007,93.733,-90.105
-16.048,97.472,-89.014
-12.979,97.472,-89.713
-9.910,97.472,-89.148
-6.841,97.472,-87.551
-3.773,97.472,-90.318
-0.704,97.472,-88.965
2.365,97.472,-91.153
5.433,97.472,-90.281
8.502,97.472,-93.104
11.571,97.472,-91.581
14.640,97.472,-93.639
17.708,97.472,-93.515
20.777,97.472,-91.145
23.846,97.472,-93.518
26.915,97.472,-93.168
29.983,97.472,-94.564
33.052,97.472,-93.644
36.121,97.472,-93.319
39.189,97.472,-94.939
42.258,97.472,-93.867
45.327,97.472,-93.028
48.396,97.472,-84.909
51.464,97.472,-93.996
54.533,97.472,-83.669
57.602,97.472,-87.595
60.671,97.472,-95.368
63.739,97.472,-93.192
66.808,97.472,-94.453
69.877,97.472,-94.791
72.945,97.472,-94.856
76.014,97.472,-93.299
79.083,97.472,-93.923
82.152,97.472,-94.825
85.220,97.472,-95.778
88.289,97.472,-89.511
91.358,97.472,-93.629
94.427,97.472,-93.387
97.495,97.472,-94.372
100.564,97.472,-93.570
103.633,97.472,-93.139
106.702,97.472,-90.586
109.770,97.472,-92.761
112.839,97.472,-92.563
115.908,97.472,-93.452
118.976,97.472,-91.609
122.045,97.472,-90.934
125.114,97.472,-86.104
128.183,97.472,-90.620
131.251,97.472,-91.573
134.320,97.472,-90.743
137.389,97.472,-91.087
140.458,97.472,-90.830
143.526,97.472,-90.279
146.595,97.472,-86.964
149.664,97.472,-90.228
152.732,97.472,-91.184
155.801,97.472,-89.354
158.870,97.472,-90.207
161.939,97.472,-90.917
165.007,97.472,-85.332
-16.048,101.211,-91.108
-12.979,101.211,-89.768
-9.910,101.211,-89.315
-6.841,101.211,-90.524
-3.773,101.211,-90.269
-0.704,101.211,-90.980
2.365,101.211,-89.872
5.433,101.211,-92.329
8.502,101.211,-92.282
11.571,101.211,-92.756
14.640,101.211,-92.776
17.708,101.211,-94.933
20.777,101.211,-94.402
23.846,101.211,-92.309
26.915,101.211,-94.991
29.983,101.211,-93.889
33.052,101.211,-91.634
36.121,101.211,-92.769
39.189,101.211,-94.057
42.258,101.211,-93.674
45.327,101.211,-88.464
48.396,101.211,-95.686
51.464,101.211,-95.264
54.533,101.211,-95.687
57.602,101.211,-94.113
60.671,101.211,-94.428
63.739,101.211,-93.641
66.808,101.211,-94.953
