PhysicalX(mm),PhysicalY(mm),MaxAmplitude(dBm)
217.459,88.635,-90.412
221.207,88.635,-89.844
224.955,88.635,-90.474
228.703,88.635,-91.303
232.451,88.635,-90.390
236.199,88.635,-91.692
239.947,88.635,-90.675
243.695,88.635,-90.972
247.442,88.635,-90.890
251.190,88.635,-90.268
254.938,88.635,-88.993
258.686,88.635,-91.225
262.434,88.635,-90.257
266.182,88.635,-89.755
269.930,88.635,-89.242
217.459,91.741,-90.183
221.207,91.741,-90.920
224.955,91.741,-90.706
228.703,91.741,-90.644
232.451,91.741,-90.512
236.199,91.741,-90.517
239.947,91.741,-90.194
243.695,91.741,-89.604
247.442,91.741,-87.774
251.190,91.741,-91.098
254.938,91.741,-90.377
258.686,91.741,-90.698
262.434,91.741,-91.611
266.182,91.741,-90.848
269.930,91.741,-90.678
217.459,94.847,-90.668
221.207,94.847,-89.007
224.955,94.847,-88.936
228.703,94.847,-90.036
232.451,94.847,-90.850
236.199,94.847,-90.455
239.947,94.847,-91.007
243.695,94.847,-89.214
247.442,94.847,-90.119
251.190,94.847,-91.546
254.938,94.847,-90.523
258.686,94.847,-88.321
262.434,94.847,-91.515
266.182,94.847,-90.408
269.930,94.847,-88.938
217.459,97.953,-89.316
221.207,97.953,-90.093
224.955,97.953,-90.200
228.703,97.953,-89.962
232.451,97.953,-89.106
236.199,97.953,-89.886
239.947,97.953,-89.871
243.695,97.953,-90.700
247.442,97.953,-90.014
251.190,97.953,-90.001
254.938,97.953,-89.747
258.686,97.953,-91.106
262.434,97.953,-90.099
266.182,97.953,-87.302
269.930,97.953,-89.592
217.459,101.059,-89.482
221.207,101.059,-90.056
224.955,101.059,-89.105
228.703,101.059,-90.093
232.451,101.059,-88.913
236.199,101.059,-90.159
239.947,101.059,-90.282
243.695,101.059,-89.418
247.442,101.059,-90.704
251.190,101.059,-89.531
254.938,101.059,-89.500
258.686,101.059,-90.344
262.434,101.059,-90.329
266.182,101.059,-89.401
269.930,101.059,-89.112
217.459,104.165,-89.449
221.207,104.165,-89.039
224.955,104.165,-89.250
228.703,104.165,-89.114
232.451,104.165,-89.914
236.199,104.165,-88.167
239.947,104.165,-89.067
243.695,104.165,-88.301
247.442,104.165,-90.060
251.190,104.165,-86.540
254.938,104.165,-90.316
258.686,104.165,-89.174
262.434,104.165,-89.774
266.182,104.165,-86.788
269.930,104.165,-89.648
217.459,107.271,-89.031
221.207,107.271,-88.666
224.955,107.271,-89.559
228.703,107.271,-89.126
232.451,107.271,-89.037
236.199,107.271,-89.062
239.947,107.271,-89.192
243.695,107.271,-89.253
247.442,107.271,-89.142
251.190,107.271,-89.143
254.938,107.271,-88.691
258.686,107.271,-90.391
262.434,107.271,-89.695
266.182,107.271,-88.647
269.930,107.271,-90.072
217.459,110.377,-88.634
221.207,110.377,-88.007
224.955,110.377,-88.392
228.703,110.377,-88.671
232.451,110.377,-89.028
236.199,110.377,-88.890
239.947,110.377,-88.650
243.695,110.377,-88.926
247.442,110.377,-88.413
251.190,110.377,-87.001
254.938,110.377,-90.164
258.686,110.377,-88.772
262.434,110.377,-90.020
266.182,110.377,-90.164
269.930,110.377,-88.691
217.459,113.483,-88.245
221.207,113.483,-88.876
224.955,113.483,-88.910
228.703,113.483,-87.778
232.451,113.483,-88.769
236.199,113.483,-87.724
239.947,113.483,-89.419
243.695,113.483,-88.499
247.442,113.483,-87.910
251.190,113.483,-89.059
254.938,113.483,-88.885
258.686,113.483,-89.402
262.434,113.483,-87.211
266.182,113.483,-89.459
269.930,113.483,-89.629
217.459,116.590,-88.805
221.207,116.590,-88.369
224.955,116.590,-88.451
228.703,116.590,-87.669
232.451,116.590,-87.939
