PhysicalX(mm),PhysicalY(mm),MaxAmplitude(dBm)
87.070,118.900,-95.164
90.352,118.900,-93.973
93.634,118.900,-95.292
96.916,118.900,-96.433
100.198,118.900,-95.224
103.481,118.900,-95.066
106.763,118.900,-95.832
110.045,118.900,-96.119
113.327,118.900,-96.656
116.609,118.900,-94.457
119.891,118.900,-96.436
123.173,118.900,-95.399
126.455,118.900,-95.276
129.737,118.900,-95.316
133.020,118.900,-97.371
136.302,118.900,-96.402
139.584,118.900,-96.531
142.866,118.900,-95.687
146.148,118.900,-96.870
149.430,118.900,-95.172
152.712,118.900,-95.412
155.994,118.900,-95.144
159.276,118.900,-96.844
162.559,118.900,-95.091
165.841,118.900,-96.220
169.123,118.900,-95.707
172.405,118.900,-96.741
175.687,118.900,-96.360
178.969,118.900,-95.936
-14.675,122.764,-91.279
-11.393,122.764,-90.932
-8.111,122.764,-93.447
-4.829,122.764,-93.080
-1.547,122.764,-94.274
1.735,122.764,-91.950
5.017,122.764,-94.847
8.299,122.764,-96.105
11.581,122.764,-94.976
14.864,122.764,-96.529
18.146,122.764,-96.167
21.428,122.764,-94.918
24.710,122.764,-93.810
27.992,122.764,-94.215
31.274,122.764,-93.213
34.556,122.764,-96.223
37.838,122.764,-95.581
41.120,122.764,-94.869
44.403,122.764,-95.819
47.685,122.764,-94.385
50.967,122.764,-96.387
54.249,122.764,-95.146
57.531,122.764,-96.353
60.813,122.764,-93.911
64.095,122.764,-95.772
67.377,122.764,-94.860
70.659,122.764,-96.048
73.942,122.764,-96.318
77.224,122.764,-95.281
80.506,122.764,-94.345
83.788,122.764,-93.995
87.070,122.764,-96.703
90.352,122.764,-93.798
93.634,122.764,-94.557
96.916,122.764,-96.196
100.198,122.764,-94.241
103.481,122.764,-94.961
106.763,122.764,-96.023
110.045,122.764,-95.955
113.327,122.764,-95.531
116.609,122.764,-95.905
119.891,122.764,-96.398
123.173,122.764,-95.347
126.455,122.764,-93.509
129.737,122.764,-97.029
133.020,122.764,-95.368
136.302,122.764,-96.054
139.584,122.764,-95.765
142.866,122.764,-97.229
146.148,122.764,-96.503
149.430,122.764,-96.804
152.712,122.764,-95.383
155.994,122.764,-95.584
159.276,122.764,-95.077
162.559,122.764,-96.962
165.841,122.764,-96.159
169.123,122.764,-95.360
172.405,122.764,-95.563
175.687,122.764,-96.351
178.969,122.764,-93.872
-14.675,126.629,-91.836
-11.393,126.629,-91.312
-8.111,126.629,-91.947
-4.829,126.629,-92.360
-1.547,126.629,-91.409
1.735,126.629,-93.851
5.017,126.629,-93.265
8.299,126.629,-94.197
11.581,126.629,-96.281
14.864,126.629,-95.365
18.146,126.629,-95.530
21.428,126.629,-96.379
24.710,126.629,-95.692
27.992,126.629,-96.757
31.274,126.629,-94.652
34.556,126.629,-96.256
37.838,126.629,-95.762
41.120,126.629,-96.770
44.403,126.629,-94.457
47.685,126.629,-95.819
50.967,126.629,-95.889
54.249,126.629,-96.379
57.531,126.629,-95.859
60.813,126.629,-94.687
64.095,126.629,-95.117
67.377,126.629,-95.089
70.659,126.629,-94.750
73.942,126.629,-96.388
77.224,126.629,-94.749
80.506,126.629,-93.595
83.788,126.629,-95.564
87.070,126.629,-95.237
90.352,126.629,-94.091
93.634,126.629,-96.407
96.916,126.629,-96.262
100.198,126.629,-95.704
103.481,126.629,-94.877
106.763,126.629,-95.521
110.045,126.629,-96.609
113.327,126.629,-94.594
116.609,126.629,-95.344
119.891,126.629,-95.881
123.173,126.629,-95.522
126.455,126.629,-95.823
129.737,126.629,-96.323
133.020,126.629,-95.106
136.302,126.629,-95.337
139.584,126.629,-95.332
142.866,126.629,-96.596
146.148,126.629,-95.890
149.430,126.629,-95.900
152.712,126.629,-96.784
155.994,126.629,-95.788
159.276,126.629,-96.883
162.559,126.629,-95.509
165.841,126.629,-95.697
169.123,126.629,-96.729
172.405,126.629,-96.177
175.687,126.629,-94.083
178.969,126.629,-96.907
-14.675,130.493,-92.591
-11.393,130.493,-92.157
-8.111,130.493,-92.505
-4.829,130.493,-94.287
-1.547,130.493,-94.434
1.735,130.493,-94.382
5.017,130.493,-93.117
8.299,130.493,-95.344
11.581,130.493,-96.372
14.864,130.493,-96.349
18.146,130.493,-94.529
21.428,130.493,-94.824
24.710,130.493,-96.032
27.992,130.493,-95.730
31.274,130.493,-96.423
34.556,130.493,-96.372
37.838,130.493,-95.732
41.120,130.493,-95.618
44.403,130.493,-95.806
47.685,130.493,-93.549
50.967,130.493,-95.198
54.249,130.493,-96.287
57.531,130.493,-95.769
60.813,130.493,-95.557
64.095,130.493,-95.226
67.377,130.493,-94.978
70.659,130.493,-95.546
73.942,130.493,-94.262
77.224,130.493,-95.689
80.506,130.493,-94.032
83.788,130.493,-95.972
87.070,130.493,-95.317
90.352,130.493,-96.277
93.634,130.493,-96.462
96.916,130.493,-95.249
100.198,130.493,-95.225
103.481,130.493,-95.598
106.763,130.493,-95.323
110.045,130.493,-95.071
113.327,130.493,-93.946
116.609,130.493,-95.634
119.891,130.493,-94.563
123.173,130.493,-96.020
126.455,130.493,-96.965
129.737,130.493,-95.799
133.020,130.493,-96.488
136.302,130.493,-95.981
139.584,130.493,-95.131
142.866,130.493,-96.244
146.148,130.493,-96.616
149.430,130.493,-95.818
152.712,130.493,-96.211
155.994,130.493,-96.583
159.276,130.493,-97.331
162.559,130.493,-97.097
165.841,130.493,-96.358
169.123,130.493,-94.912
172.405,130.493,-96.078
175.687,130.493,-96.652
178.969,130.493,-95.088
-14.675,134.358,-91.201
-11.393,134.358,-93.007
-8.111,134.358,-92.906
-4.829,134.358,-93.263
-1.547,134.358,-94.183
1.735,134.358,-94.991
5.017,134.358,-93.396
8.299,134.358,-94.596
11.581,134.358,-94.971
14.864,134.358,-95.651
18.146,134.358,-96.445
21.428,134.358,-95.451
24.710,134.358,-96.075
27.992,134.358,-97.149
31.274,134.358,-95.014
34.556,134.358,-95.217
37.838,134.358,-95.449
41.120,134.358,-95.714
44.403,134.358,-94.039
47.685,134.358,-95.096
50.967,134.358,-94.446
54.249,134.358,-95.183
57.531,134.358,-94.912
60.813,134.358,-95.335
64.095,134.358,-94.038
67.377,134.358,-94.203
70.659,134.358,-95.349
73.942,134.358,-93.807
77.224,134.358,-95.444
80.506,134.358,-95.695
83.788,134.358,-95.703
87.070,134.358,-95.755
90.352,134.358,-95.233
93.634,134.358,-95.904
96.916,134.358,-94.763
100.198,134.358,-96.055
103.481,134.358,-95.642
106.763,134.358,-95.383
110.045,134.358,-96.031
113.327,134.358,-96.523
116.609,134.358,-96.815
119.891,134.358,-94.797
123.173,134.358,-95.496
126.455,134.358,-95.821
129.737,134.358,-96.827
133.020,134.358,-95.905
136.302,134.358,-95.991
139.584,134.358,-96.788
142.866,134.358,-96.083
146.148,134.358,-96.490
149.430,134.358,-96.201
152.712,134.358,-95.840
155.994,134.358,-93.559
159.276,134.358,-95.586
162.559,134.358,-94.331
165.841,134.358,-94.844
169.123,134.358,-94.314
172.405,134.358,-96.462
175.687,134.358,-96.157
178.969,134.358,-96.196
-14.675,138.223,-92.325
-11.393,138.223,-92.016
-8.111,138.223,-92.109
-4.829,138.223,-93.341
-1.547,138.223,-94.614
1.735,138.223,-94.824
5.017,138.223,-96.130
8.299,138.223,-96.825
11.581,138.223,-94.000
14.864,138.223,-94.779
18.146,138.223,-96.847
21.428,138.223,-95.035
24.710,138.223,-94.224
27.992,138.223,-95.668
31.274,138.223,-96.450
34.556,138.223,-95.119
37.838,138.223,-96.230
41.120,138.223,-96.670
44.403,138.223,-93.576
47.685,138.223,-96.110
50.967,138.223,-96.206
54.249,138.223,-95.758
57.531,138.223,-93.256
60.813,138.223,-96.488
64.095,138.223,-95.188
67.377,138.223,-95.591
70.659,138.223,-94.492
73.942,138.223,-95.712
77.224,138.223,-93.076
80.506,138.223,-94.551
83.788,138.223,-94.332
87.070,138.223,-96.208
90.352,138.223,-95.887
93.634,138.223,-95.882
96.916,138.223,-95.994
100.198,138.223,-95.404
103.481,138.223,-95.194
106.763,138.223,-97.148
110.045,138.223,-97.727
113.327,138.223,-96.398
116.609,138.223,-96.940
119.891,138.223,-95.578
123.173,138.223,-96.209
126.455,138.223,-96.804
129.737,138.223,-96.391
133.020,138.223,-95.639
136.302,138.223,-94.159
139.584,138.223,-95.080
142.866,138.223,-96.778
146.148,138.223,-96.117
149.430,138.223,-96.959
152.712,138.223,-94.986
155.994,138.223,-96.103
159.276,138.223,-96.596
162.559,138.223,-94.150
165.841,138.223,-95.651
169.123,138.223,-97.020
172.405,138.223,-95.450
175.687,138.223,-95.629
178.969,138.223,-96.732
-14.675,142.087,-91.907
-11.393,142.087,-93.149
-8.111,142.087,-93.419
-4.829,142.087,-92.156
-1.547,142.087,-93.583
1.735,142.087,-94.668
5.017,142.087,-94.733
8.299,142.087,-97.341
11.581,142.087,-93.972
14.864,142.087,-96.687
18.146,142.087,-93.983
21.428,142.087,-94.611
24.710,142.087,-96.729
27.992,142.087,-96.803
31.274,142.087,-97.883
34.556,142.087,-94.741
37.838,142.087,-96.248
41.120,142.087,-95.387
44.403,142.087,-94.907
47.685,142.087,-96.151
50.967,142.087,-95.386
54.249,142.087,-95.431
57.531,142.087,-94.038
60.813,142.087,-94.258
64.095,142.087,-93.528
67.377,142.087,-95.678
70.659,142.087,-94.770
