PhysicalX(mm),PhysicalY(mm),P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40,P41,P42,P43,P44,P45,P46,P47,P48,P49,P50,P51,P52,P53,P54,P55,P56,P57,P58,P59,P60,P61,P62,P63,P64,P65,P66,P67,P68,P69,P70,P71,P72,P73,P74,P75,P76,P77,P78,P79,P80,P81,P82,P83,P84,P85,P86,P87,P88,P89,P90,P91,P92,P93,P94,P95,P96,P97,P98,P99,P100
125.239,103.096,-93.568,-96.981,-93.305,-92.183,-93.506,-91.269,-93.371,-95.292,-94.760,-94.556,-93.523,-94.233,-94.623,-95.557,-92.796,-95.994,-94.732,-94.067,-95.098,-93.112,-92.221,-90.748,-93.827,-93.382,-95.540,-94.067,-92.706,-94.299,-93.529,-92.736,-92.544,-94.046,-91.785,-91.389,-93.335,-91.188,-94.514,-92.740,-94.774,-92.005,-94.500,-90.631,-93.601,-92.709,-91.737,-93.091,-93.201,-93.202,-94.543,-93.912,-91.751,-94.170,-91.214,-92.963,-91.101,-94.250,-91.923,-91.397,-95.201,-95.863,-92.577,-90.861,-93.341,-92.131,-89.667,-92.597,-93.735,-94.440,-92.011,-94.002,-92.091,-92.999,-93.942,-95.591,-93.148,-89.065,-93.746,-90.576,-88.922,-97.311,-93.065,-93.339,-95.381,-92.288,-94.711,-91.418,-93.330,-93.420,-94.966,-93.300,-92.638,-94.604,-93.988,-94.250,-93.842,-93.757,-92.082,-93.289,-93.069,-94.236,-93.265
146.362,103.096,-91.817,-95.989,-91.864,-91.669,-93.000,-91.940,-94.693,-93.680,-92.423,-95.007,-92.366,-93.142,-93.931,-93.620,-91.375,-92.315,-93.099,-95.517,-93.338,-94.142,-94.381,-93.340,-92.642,-92.788,-92.742,-94.203,-92.622,-95.545,-94.456,-94.456,-93.132,-94.558,-91.745,-89.544,-95.790,-82.931,-93.058,-91.186,-92.705,-96.557,-91.716,-92.207,-94.710,-94.672,-93.656,-92.341,-94.647,-92.043,-93.887,-94.082,-95.488,-92.278,-89.930,-93.440,-95.334,-93.413,-93.980,-92.519,-92.056,-92.688,-93.409,-93.450,-95.597,-91.129,-91.145,-93.849,-95.211,-93.389,-92.871,-95.628,-94.161,-89.947,-94.139,-94.860,-92.624,-87.885,-95.063,-94.040,-93.311,-92.238,-94.707,-92.646,-91.142,-93.867,-88.924,-93.431,-92.394,-93.147,-92.014,-94.362,-94.548,-94.021,-93.893,-94.230,-90.986,-94.917,-94.451,-90.879,-93.851,-94.728,-94.121
167.485,103.096,-92.335,-91.590,-93.427,-95.050,-93.516,-94.357,-95.775,-93.379,-93.146,-92.660,-94.485,-95.695,-93.715,-93.766,-94.978,-91.463,-93.830,-90.208,-93.865,-90.800,-93.513,-93.755,-94.998,-94.119,-93.478,-93.480,-93.457,-95.696,-91.809,-94.068,-95.764,-91.513,-93.183,-93.132,-93.933,-94.607,-92.785,-93.443,-90.245,-93.677,-95.303,-93.808,-90.816,-92.457,-90.564,-91.787,-92.606,-92.554,-93.634,-94.397,-92.654,-93.687,-91.113,-91.376,-91.348,-93.150,-97.450,-93.888,-93.477,-93.059,-94.216,-91.849,-92.750,-93.569,-92.435,-92.738,-93.432,-93.366,-93.076,-92.928,-94.003,-90.853,-92.507,-91.880,-94.180,-87.570,-94.759,-94.272,-93.589,-94.104,-89.866,-94.379,-93.650,-91.349,-94.895,-93.012,-94.745,-93.575,-90.716,-94.820,-89.911,-93.128,-94.490,-94.062,-91.972,-92.857,-91.584,-95.477,-93.206,-93.429,-93.433
188.608,103.096,-92.260,-91.562,-92.573,-92.831,-92.891,-94.431,-95.510,-95.392,-94.358,-91.155,-93.173,-93.979,-93.153,-92.338,-93.405,-92.720,-93.430,-94.507,-92.636,-95.322,-92.040,-95.450,-93.338,-92.487,-92.464,-94.476,-93.753,-95.338,-91.319,-91.670,-93.073,-95.058,-94.330,-93.322,-91.925,-82.291,-92.007,-93.016,-95.672,-94.334,-94.394,-93.619,-91.403,-93.697,-91.615,-93.288,-93.757,-92.242,-91.462,-94.334,-93.258,-94.745,-89.726,-90.160,-90.160,-94.730,-93.585,-93.315,-95.299,-91.497,-92.098,-92.371,-93.536,-91.878,-92.806,-92.333,-93.677,-90.227,-93.305,-92.118,-93.130,-93.435,-92.486,-93.202,-92.196,-86.042,-92.616,-92.996,-95.176,-93.387,-91.973,-91.510,-93.865,-92.899,-91.488,-90.374,-92.320,-93.445,-93.745,-94.549,-91.010,-92.815,-91.979,-90.747,-89.575,-93.164,-94.033,-92.070,-91.710,-93.209,-92.038
209.731,103.096,-94.394,-93.771,-92.393,-90.740,-92.843,-92.075,-93.477,-92.289,-91.846,-94.956,-91.564,-95.605,-94.701,-94.644,-94.041,-92.072,-90.023,-94.227,-92.659,-92.368,-92.972,-91.383,-95.213,-92.163,-93.619,-95.263,-94.723,-93.103,-92.384,-92.738,-92.211,-89.755,-91.595,-91.993,-91.877,-93.457,-95.774,-94.854,-92.358,-96.632,-93.153,-91.461,-95.412,-94.517,-91.579,-93.255,-92.174,-93.755,-92.096,-90.230,-92.867,-93.538,-88.983,-92.289,-92.979,-94.265,-94.465,-92.138,-93.672,-92.756,-94.993,-95.337,-93.672,-92.909,-94.027,-92.303,-93.863,-92.043,-93.773,-93.687,-92.151,-94.626,-92.449,-94.035,-93.703,-86.488,-94.505,-89.852,-92.512,-92.060,-92.314,-91.648,-92.594,-90.599,-92.854,-93.268,-91.496,-92.382,-89.605,-88.984,-93.722,-93.857,-93.744,-91.205,-94.299,-94.836,-91.748,-94.667,-91.580,-90.206,-93.025
230.854,103.096,-93.537,-93.944,-94.008,-95.661,-91.593,-90.634,-90.537,-94.164,-91.769,-91.640,-92.913,-93.743,-93.679,-92.838,-91.235,-94.531,-93.516,-91.655,-93.995,-93.274,-94.258,-92.180,-92.280,-91.185,-91.264,-91.283,-93.817,-94.254,-92.904,-92.922,-91.997,-94.431,-91.232,-91.230,-95.212,-94.568,-93.469,-92.565,-92.720,-93.534,-90.055,-92.613,-93.331,-91.801,-94.790,-95.104,-93.860,-94.589,-93.279,-92.545,-92.298,-93.807,-88.848,-92.340,-91.714,-92.339,-93.401,-90.382,-92.246,-92.594,-93.113,-94.160,-91.577,-94.403,-93.919,-93.550,-95.644,-91.450,-93.799,-92.612,-93.347,-92.954,-90.766,-92.625,-91.056,-91.252,-92.623,-92.521,-92.140,-92.985,-90.804,-89.263,-93.471,-94.596,-93.948,-92.690,-92.967,-93.809,-95.388,-91.836,-94.454,-93.871,-92.377,-93.281,-94.462,-92.417,-91.013,-92.976,-93.338,-93.174,-93.663
251.976,103.096,-91.462,-89.276,-95.217,-93.583,-94.985,-93.768,-93.489,-91.265,-94.449,-93.536,-92.930,-92.487,-92.257,-94.736,-92.122,-96.190,-93.729,-95.142,-93.836,-93.991,-89.897,-92.602,-93.185,-92.103,-92.338,-90.507,-94.380,-92.406,-92.649,-94.533,-90.740,-94.299,-92.944,-94.640,-93.226,-81.652,-92.582,-94.574,-93.918,-94.177,-94.816,-91.048,-91.537,-93.247,-91.996,-93.647,-92.549,-92.847,-94.040,-92.378,-93.759,-91.253,-90.609,-91.139,-93.511,-91.299,-91.740,-92.472,-93.251,-95.197,-92.342,-93.279,-92.757,-94.966,-93.591,-93.166,-90.606,-93.949,-92.388,-92.835,-95.263,-92.057,-93.882,-91.749,-92.089,-89.825,-93.142,-91.610,-92.259,-92.405,-95.645,-94.262,-93.199,-93.253,-94.026,-93.061,-93.388,-91.252,-90.846,-94.568,-93.799,-95.339,-94.108,-92.017,-94.372,-92.367,-93.329,-92.276,-94.171,-93.375,-91.933
273.099,103.096,-95.842,-93.703,-93.860,-92.074,-93.317,-91.328,-92.449,-94.710,-93.808,-93.546,-93.021,-93.743,-91.931,-93.786,-93.680,-95.105,-91.714,-94.460,-92.657,-93.702,-92.130,-94.819,-93.280,-94.445,-93.463,-94.461,-92.268,-94.185,-95.458,-92.151,-91.503,-92.690,-94.333,-93.670,-92.966,-92.033,-91.292,-90.127,-94.455,-92.444,-93.614,-92.513,-94.619,-94.112,-91.817,-92.611,-93.437,-91.230,-90.557,-89.673,-92.257,-96.734,-88.195,-93.948,-92.190,-89.582,-92.259,-93.702,-92.628,-90.905,-92.988,-92.880,-92.934,-93.161,-88.829,-93.491,-94.257,-91.579,-95.981,-89.939,-92.647,-91.136,-92.946,-91.193,-91.309,-91.497,-93.364,-94.173,-92.946,-92.379,-91.945,-93.420,-90.280,-91.849,-92.886,-92.830,-95.616,-94.444,-94.260,-92.554,-93.585,-94.717,-92.382,-93.420,-95.417,-91.312,-93.915,-92.904,-95.732,-93.898,-94.098
294.222,103.096,-92.955,-91.665,-92.555,-92.398,-94.609,-91.356,-93.785,-94.147,-92.363,-91.520,-91.981,-92.346,-93.039,-92.465,-91.873,-89.475,-93.618,-92.658,-90.425,-94.715,-92.674,-92.769,-95.424,-93.798,-92.688,-94.184,-91.121,-91.818,-92.458,-94.965,-95.162,-90.979,-91.980,-94.643,-91.206,-92.641,-92.151,-93.795,-92.799,-91.809,-92.997,-93.219,-92.529,-91.634,-92.233,-93.475,-91.285,-93.484,-92.110,-93.079,-92.216,-92.034,-91.449,-93.910,-91.758,-91.370,-94.527,-91.788,-91.880,-94.577,-94.014,-93.837,-92.859,-91.618,-91.828,-93.228,-93.235,-93.234,-89.844,-90.492,-90.246,-92.916,-89.113,-94.556,-92.527,-90.704,-93.732,-92.892,-92.838,-92.890,-92.863,-93.177,-91.039,-93.746,-93.775,-90.557,-90.650,-93.000,-91.160,-91.844,-95.342,-94.759,-93.715,-92.577,-91.831,-92.842,-93.381,-92.921,-92.335,-94.145,-92.835
315.345,103.096,-91.930,-93.912,-93.365,-92.256,-93.506,-91.485,-92.966,-95.462,-94.338,-92.795,-91.373,-93.259,-94.190,-91.817,-95.729,-94.209,-93.046,-90.247,-91.723,-95.611,-92.953,-92.016,-93.428,-93.579,-92.581,-93.937,-91.451,-90.533,-90.895,-94.392,-90.964,-92.970,-93.834,-92.366,-92.639,-81.656,-92.718,-93.238,-93.546,-92.248,-94.698,-92.460,-95.251,-92.847,-94.769,-94.905,-93.742,-94.007,-90.994,-92.333,-92.987,-94.028,-87.020,-93.283,-94.107,-93.286,-93.897,-92.329,-91.362,-92.699,-90.908,-91.906,-91.963,-90.401,-94.056,-90.891,-94.569,-94.884,-91.880,-94.321,-92.771,-94.269,-92.521,-92.455,-94.910,-90.435,-93.997,-92.826,-91.799,-90.957,-92.216,-93.615,-90.990,-93.550,-95.823,-89.962,-93.298,-95.424,-92.927,-92.857,-94.491,-89.820,-94.440,-92.838,-93.720,-94.969,-94.174,-95.759,-92.263,-93.745,-93.223
