PhysicalX(mm),PhysicalY(mm),P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40,P41,P42,P43,P44,P45,P46,P47,P48,P49,P50,P51,P52,P53,P54,P55,P56,P57,P58,P59,P60,P61,P62,P63,P64,P65,P66,P67,P68,P69,P70,P71,P72,P73,P74,P75,P76,P77,P78,P79,P80,P81,P82,P83,P84,P85,P86,P87,P88,P89,P90,P91,P92,P93,P94,P95,P96,P97,P98,P99,P100
123.437,90.675,-94.174,-92.800,-92.901,-93.797,-94.534,-90.954,-93.184,-95.249,-94.378,-93.674,-92.073,-93.750,-93.086,-91.473,-95.018,-93.689,-93.715,-94.984,-93.884,-90.370,-94.384,-93.958,-93.984,-93.313,-93.580,-94.757,-93.997,-90.664,-94.286,-93.644,-92.308,-92.465,-88.554,-93.877,-92.018,-93.166,-95.058,-93.882,-91.638,-94.860,-94.627,-94.721,-93.339,-92.380,-91.913,-91.547,-92.724,-92.584,-94.505,-92.652,-92.764,-93.833,-91.743,-90.876,-95.398,-93.054,-93.550,-93.565,-91.559,-92.748,-93.026,-89.523,-95.913,-93.011,-92.841,-92.941,-90.376,-92.795,-93.559,-92.440,-91.795,-92.129,-93.963,-96.662,-93.537,-85.327,-91.446,-92.952,-93.109,-91.678,-92.595,-95.161,-90.799,-95.359,-94.859,-93.759,-92.933,-94.996,-95.538,-95.296,-92.777,-91.207,-92.522,-94.769,-93.029,-93.414,-93.232,-92.056,-91.981,-93.870,-92.105
144.710,90.675,-90.368,-92.159,-91.825,-93.359,-93.838,-92.788,-93.396,-93.450,-92.291,-94.583,-92.452,-92.082,-93.468,-90.596,-93.000,-94.036,-92.163,-92.749,-92.739,-95.231,-94.486,-94.211,-91.499,-91.835,-93.511,-91.746,-92.330,-92.792,-91.675,-92.887,-92.130,-92.942,-93.737,-92.241,-92.893,-92.682,-92.374,-90.337,-91.787,-89.163,-92.046,-94.901,-93.422,-93.287,-90.206,-93.282,-91.780,-91.627,-91.309,-93.824,-93.114,-92.195,-92.403,-92.051,-93.280,-93.545,-92.959,-93.156,-93.600,-95.096,-94.721,-94.845,-90.791,-93.939,-93.537,-93.678,-94.743,-91.801,-92.245,-93.442,-92.494,-93.765,-93.895,-92.033,-93.756,-85.791,-93.668,-92.313,-94.665,-93.816,-92.735,-94.545,-92.023,-92.537,-92.866,-89.489,-92.725,-95.377,-93.943,-93.742,-92.833,-95.743,-92.735,-93.466,-93.229,-91.099,-94.788,-93.526,-92.902,-92.725,-93.768
165.983,90.675,-93.359,-93.029,-94.249,-94.472,-94.037,-92.857,-92.762,-92.296,-92.068,-94.395,-93.068,-91.536,-92.850,-91.066,-95.257,-93.597,-92.917,-95.207,-93.713,-92.959,-94.781,-92.631,-92.683,-92.180,-94.009,-93.712,-92.817,-95.316,-93.008,-93.006,-91.751,-93.701,-93.216,-94.008,-93.061,-91.616,-91.495,-92.772,-93.316,-92.680,-93.347,-92.072,-95.543,-93.362,-93.860,-91.944,-93.919,-94.070,-96.883,-92.997,-94.337,-91.148,-88.358,-92.589,-91.894,-95.843,-96.147,-91.867,-91.654,-94.662,-94.578,-91.275,-93.550,-92.111,-90.327,-92.482,-94.143,-93.601,-92.566,-90.344,-92.618,-94.196,-94.122,-93.179,-93.014,-88.416,-93.366,-93.718,-93.211,-89.559,-93.162,-94.580,-95.028,-95.336,-92.252,-89.478,-89.387,-91.169,-90.761,-92.836,-90.827,-96.184,-95.232,-93.756,-93.241,-96.037,-94.188,-91.495,-91.620,-91.606,-94.412
187.256,90.675,-93.184,-92.666,-94.118,-94.513,-90.963,-90.867,-95.292,-94.741,-98.337,-94.726,-93.270,-91.186,-92.058,-94.132,-93.697,-93.101,-92.188,-91.268,-93.503,-93.213,-93.047,-91.248,-92.378,-92.703,-93.700,-93.131,-91.200,-93.903,-93.320,-95.755,-91.085,-93.942,-93.638,-94.873,-92.831,-93.134,-93.129,-91.756,-93.150,-94.981,-93.341,-91.434,-91.187,-93.098,-95.010,-93.193,-95.198,-92.552,-95.613,-93.485,-93.559,-92.757,-88.544,-95.315,-92.064,-93.385,-93.245,-91.752,-89.778,-92.668,-91.767,-91.921,-92.257,-93.444,-92.179,-92.538,-93.320,-92.216,-92.546,-90.599,-93.262,-90.210,-93.411,-90.675,-92.873,-83.789,-92.551,-94.484,-93.459,-92.423,-93.339,-92.698,-93.783,-92.812,-93.869,-93.467,-92.881,-93.795,-92.291,-91.934,-93.379,-93.714,-94.236,-90.644,-91.685,-93.731,-93.301,-92.618,-92.100,-93.026,-92.883
208.529,90.675,-95.484,-94.420,-90.943,-92.666,-92.517,-93.907,-95.016,-92.229,-93.452,-93.098,-91.789,-93.425,-95.162,-91.810,-91.143,-91.814,-92.237,-94.161,-91.403,-90.367,-92.297,-92.338,-90.996,-92.351,-92.734,-91.580,-92.041,-93.591,-90.701,-89.591,-93.159,-90.898,-95.361,-93.080,-94.408,-82.880,-90.575,-95.570,-91.313,-94.744,-93.294,-93.245,-91.835,-91.561,-91.812,-91.573,-94.546,-93.006,-92.792,-93.684,-94.685,-94.569,-90.825,-91.561,-92.098,-91.396,-91.792,-93.189,-93.204,-90.472,-93.781,-91.159,-92.536,-92.776,-93.013,-93.036,-90.309,-91.886,-93.362,-93.189,-95.019,-93.254,-91.193,-94.939,-92.602,-88.147,-90.684,-91.796,-92.076,-92.265,-94.994,-93.500,-90.890,-94.247,-92.761,-94.643,-93.809,-93.839,-93.107,-93.053,-93.770,-91.698,-93.378,-91.584,-93.906,-95.048,-93.464,-93.749,-91.648,-90.658,-91.901
229.802,90.675,-94.515,-97.058,-95.477,-94.025,-93.490,-93.733,-91.348,-94.591,-92.605,-90.496,-94.234,-94.701,-92.707,-93.038,-94.071,-91.161,-94.034,-93.514,-95.397,-89.553,-96.438,-94.641,-91.746,-95.021,-92.656,-93.013,-92.687,-89.146,-91.811,-94.094,-94.641,-90.725,-93.937,-93.067,-92.217,-91.937,-81.931,-92.556,-93.442,-94.277,-94.521,-94.633,-92.592,-92.705,-90.957,-95.547,-92.237,-91.858,-93.301,-91.266,-91.414,-94.006,-88.503,-95.054,-92.339,-93.433,-93.185,-91.628,-92.099,-92.802,-91.858,-90.996,-92.018,-92.431,-93.736,-92.903,-91.641,-91.603,-93.799,-94.098,-91.485,-93.064,-92.719,-90.818,-93.072,-91.255,-91.851,-92.730,-93.470,-93.772,-95.299,-93.044,-92.140,-92.741,-92.430,-94.392,-93.154,-92.881,-94.444,-95.414,-93.544,-93.182,-93.102,-89.356,-95.746,-93.033,-91.428,-92.040,-92.785,-92.259,-94.269
251.075,90.675,-93.338,-93.309,-95.903,-91.599,-92.807,-91.131,-95.408,-92.875,-92.730,-93.632,-92.559,-91.947,-90.638,-90.607,-93.279,-92.880,-92.461,-93.226,-93.625,-92.837,-93.345,-93.466,-95.292,-93.629,-94.865,-93.612,-94.510,-94.142,-94.646,-92.831,-93.387,-92.174,-91.527,-92.666,-93.347,-93.573,-80.916,-90.883,-94.281,-94.764,-93.802,-92.429,-93.527,-92.693,-92.519,-93.617,-93.421,-91.942,-93.131,-92.553,-93.419,-92.689,-89.160,-92.472,-91.197,-94.135,-93.452,-93.203,-92.149,-94.946,-91.999,-92.425,-94.360,-94.652,-95.213,-93.168,-92.446,-91.652,-92.553,-93.420,-92.356,-91.352,-90.715,-93.092,-92.213,-89.976,-91.303,-96.816,-92.096,-94.124,-93.797,-96.963,-93.279,-91.266,-91.117,-91.727,-93.055,-94.401,-93.843,-95.123,-93.391,-94.710,-94.402,-95.667,-93.734,-93.499,-95.184,-95.798,-93.114,-93.628,-92.901
272.349,90.675,-90.752,-92.854,-92.467,-93.438,-92.893,-91.836,-89.619,-93.789,-90.766,-91.972,-91.535,-93.521,-93.644,-92.903,-96.616,-91.398,-94.372,-92.390,-93.900,-90.860,-94.103,-94.815,-91.688,-93.148,-91.625,-92.637,-94.705,-92.876,-91.230,-91.160,-93.423,-93.027,-94.094,-92.409,-90.428,-82.305,-81.739,-91.703,-93.283,-92.554,-95.741,-93.624,-93.579,-93.851,-92.821,-90.543,-90.508,-91.318,-92.054,-93.984,-91.684,-94.544,-89.057,-94.292,-93.671,-93.159,-91.785,-93.477,-94.707,-93.284,-93.168,-90.878,-94.238,-93.194,-94.297,-93.682,-94.469,-91.528,-92.564,-91.768,-90.710,-93.118,-91.290,-93.486,-93.716,-89.182,-93.236,-90.941,-95.562,-92.922,-95.690,-90.900,-89.957,-92.485,-92.407,-94.089,-93.561,-92.434,-93.422,-92.632,-92.822,-91.525,-93.203,-91.511,-89.984,-93.590,-91.887,-91.299,-92.518,-93.162,-95.475
293.622,90.675,-93.796,-94.494,-92.034,-96.290,-91.664,-92.914,-92.843,-93.178,-93.781,-93.129,-91.911,-92.594,-92.989,-91.187,-93.297,-96.566,-94.486,-94.332,-93.571,-91.368,-92.215,-94.780,-90.824,-93.168,-92.690,-92.083,-95.137,-93.217,-93.609,-94.738,-92.389,-92.076,-93.479,-94.560,-93.721,-91.709,-91.394,-93.460,-93.267,-92.239,-91.651,-93.010,-92.284,-91.567,-93.279,-91.888,-91.868,-93.377,-92.110,-91.908,-93.721,-92.860,-87.478,-92.262,-93.740,-92.088,-93.075,-91.174,-89.527,-92.094,-94.942,-91.480,-89.153,-94.599,-94.907,-93.795,-89.856,-92.231,-93.033,-94.090,-94.880,-93.688,-93.512,-92.971,-91.543,-88.738,-93.333,-94.893,-93.361,-93.327,-93.158,-94.637,-91.062,-91.001,-94.787,-92.013,-94.108,-92.417,-92.629,-92.281,-93.172,-93.072,-91.625,-93.739,-93.899,-94.386,-91.695,-92.764,-92.827,-95.375,-93.467
314.895,90.675,-92.932,-94.339,-95.450,-91.810,-95.078,-93.084,-92.696,-93.377,-96.425,-96.083,-94.491,-92.871,-94.288,-93.206,-93.443,-91.170,-94.581,-92.924,-92.587,-94.932,-92.459,-93.492,-93.618,-94.781,-91.615,-89.477,-91.596,-91.545,-93.869,-92.150,-93.023,-93.470,-94.969,-97.095,-94.521,-91.487,-92.952,-89.470,-94.110,-93.133,-91.678,-90.377,-91.882,-90.970,-90.578,-94.222,-93.253,-94.823,-89.880,-92.896,-93.161,-93.133,-87.429,-91.922,-95.543,-91.150,-93.286,-93.175,-92.540,-89.120,-93.113,-91.317,-94.534,-91.903,-92.233,-91.320,-92.120,-92.926,-94.541,-92.925,-91.880,-92.458,-93.650,-91.320,-93.399,-85.850,-93.274,-94.014,-91.993,-92.662,-93.403,-92.677,-90.179,-90.809,-90.733,-92.100,-91.662,-91.948,-92.472,-92.952,-93.148,-94.014,-93.784,-93.876,-94.726,-92.233,-94.269,-91.758,-92.983,-94.228,-93.116
