PhysicalX(mm),PhysicalY(mm),MaxAmplitude(dBm)
124.338,91.097,-86.262
134.438,91.097,-84.954
144.539,91.097,-86.906
154.639,91.097,-86.375
164.740,91.097,-86.204
174.840,91.097,-84.058
184.941,91.097,-85.183
195.041,91.097,-85.423
205.141,91.097,-83.648
215.242,91.097,-83.984
225.342,91.097,-84.459
235.443,91.097,-87.672
245.543,91.097,-87.938
255.644,91.097,-88.288
265.744,91.097,-89.100
275.845,91.097,-86.625
285.945,91.097,-89.110
296.045,91.097,-83.589
306.146,91.097,-84.618
316.246,91.097,-83.057
124.338,103.096,-86.539
134.438,103.096,-85.349
144.539,103.096,-85.777
154.639,103.096,-86.636
164.740,103.096,-84.222
174.840,103.096,-86.575
184.941,103.096,-84.320
195.041,103.096,-84.293
205.141,103.096,-85.723
215.242,103.096,-85.417
225.342,103.096,-86.380
235.443,103.096,-89.033
245.543,103.096,-88.912
255.644,103.096,-89.943
265.744,103.096,-90.271
275.845,103.096,-90.439
285.945,103.096,-90.326
296.045,103.096,-89.332
306.146,103.096,-89.792
316.246,103.096,-85.745
124.338,115.096,-86.270
134.438,115.096,-84.678
144.539,115.096,-87.362
154.639,115.096,-86.090
164.740,115.096,-86.975
174.840,115.096,-85.823
184.941,115.096,-85.693
195.041,115.096,-88.367
205.141,115.096,-85.057
215.242,115.096,-85.988
225.342,115.096,-83.173
235.443,115.096,-85.759
245.543,115.096,-85.202
255.644,115.096,-90.136
265.744,115.096,-91.125
275.845,115.096,-87.208
285.945,115.096,-89.263
296.045,115.096,-88.044
306.146,115.096,-91.287
316.246,115.096,-84.842
124.338,127.096,-86.463
134.438,127.096,-86.364
144.539,127.096,-84.970
154.639,127.096,-90.357
164.740,127.096,-86.438
174.840,127.096,-87.639
184.941,127.096,-85.492
195.041,127.096,-87.093
205.141,127.096,-90.694
215.242,127.096,-85.122
225.342,127.096,-89.262
235.443,127.096,-84.212
245.543,127.096,-85.972
255.644,127.096,-86.147
265.744,127.096,-85.511
275.845,127.096,-91.362
285.945,127.096,-91.468
296.045,127.096,-90.963
306.146,127.096,-85.042
316.246,127.096,-89.760
124.338,139.096,-85.162
134.438,139.096,-88.183
144.539,139.096,-87.602
154.639,139.096,-85.744
164.740,139.096,-89.302
174.840,139.096,-89.928
184.941,139.096,-88.160
195.041,139.096,-89.624
205.141,139.096,-85.671
215.242,139.096,-87.846
225.342,139.096,-87.978
235.443,139.096,-91.031
245.543,139.096,-86.829
255.644,139.096,-87.574
265.744,139.096,-86.214
275.845,139.096,-84.695
285.945,139.096,-87.430
296.045,139.096,-89.432
306.146,139.096,-88.950
316.246,139.096,-84.920
