PhysicalX(mm),PhysicalY(mm),P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40,P41,P42,P43,P44,P45,P46,P47,P48,P49,P50,P51,P52,P53,P54,P55,P56,P57,P58,P59,P60,P61,P62,P63,P64,P65,P66,P67,P68,P69,P70,P71,P72,P73,P74,P75,P76,P77,P78,P79,P80,P81,P82,P83,P84,P85,P86,P87,P88,P89,P90,P91,P92,P93,P94,P95,P96,P97,P98,P99,P100
125.116,85.601,-99.005,-99.687,-101.183,-102.183,-101.954,-102.367,-100.028,-101.747,-99.900,-102.956,-99.353,-100.099,-100.879,-101.370,-98.123,-100.557,-100.514,-101.746,-99.837,-100.181,-100.925,-101.339,-99.556,-99.821,-99.565,-98.355,-101.407,-101.611,-100.108,-99.927,-97.686,-100.857,-101.019,-101.484,-102.484,-100.276,-100.700,-102.854,-102.058,-98.354,-97.963,-101.027,-101.455,-100.633,-102.328,-98.750,-101.602,-100.143,-98.588,-102.149,-99.179,-99.583,-97.292,-96.020,-95.280,-101.873,-98.777,-100.644,-99.588,-96.953,-102.160,-100.226,-101.813,-98.657,-101.134,-101.630,-99.940,-97.145,-102.000,-102.821,-97.486,-99.852,-98.267,-100.166,-100.990,-101.061,-102.431,-102.711,-99.219,-99.225,-100.124,-101.614,-101.329,-101.224,-98.697,-100.895,-100.643,-99.198,-102.106,-99.121,-98.615,-102.427,-100.078,-102.307,-100.462,-100.981,-98.752,-99.600,-99.781,-101.799,-89.569
135.070,85.601,-100.988,-99.574,-101.812,-101.235,-101.516,-102.381,-102.390,-100.280,-97.982,-101.402,-102.213,-99.308,-101.033,-101.213,-101.003,-100.461,-100.679,-102.447,-100.052,-98.934,-101.163,-103.196,-99.548,-99.015,-99.645,-102.724,-99.093,-101.665,-99.492,-99.681,-100.378,-100.761,-102.761,-99.669,-101.066,-98.294,-100.933,-101.344,-101.182,-99.929,-97.424,-100.080,-100.647,-101.896,-102.277,-101.000,-99.744,-101.031,-99.334,-100.318,-96.796,-100.681,-99.476,-95.099,-95.882,-100.563,-97.591,-97.553,-98.446,-102.171,-101.651,-101.692,-102.398,-101.251,-99.992,-101.692,-100.190,-100.772,-97.763,-101.161,-98.030,-101.499,-97.283,-99.631,-98.599,-100.617,-103.064,-100.372,-100.683,-99.071,-102.495,-100.374,-101.611,-97.729,-99.306,-99.268,-100.275,-97.369,-103.721,-100.215,-101.815,-99.824,-97.322,-101.481,-99.740,-101.276,-102.354,-101.141,-101.420,-104.275,-88.635
145.024,85.601,-102.148,-100.161,-103.307,-101.850,-100.557,-103.377,-98.453,-102.216,-98.303,-101.047,-102.601,-100.308,-101.617,-101.498,-101.255,-100.551,-102.131,-101.860,-100.837,-99.974,-101.090,-102.680,-101.641,-103.483,-101.677,-102.312,-100.787,-102.961,-99.794,-102.753,-100.631,-97.507,-102.399,-101.100,-100.827,-98.956,-102.484,-101.907,-101.087,-99.723,-101.018,-102.067,-101.911,-103.469,-100.438,-100.105,-100.865,-100.448,-100.034,-101.144,-96.896,-99.965,-100.146,-95.921,-97.929,-101.821,-97.168,-99.709,-101.368,-97.778,-103.029,-99.606,-98.443,-99.094,-98.143,-101.052,-99.706,-100.366,-98.620,-101.604,-98.654,-102.399,-96.993,-98.918,-99.911,-99.566,-100.095,-100.605,-103.043,-98.602,-100.948,-102.969,-101.858,-101.313,-101.897,-101.905,-100.851,-101.617,-101.707,-100.333,-101.541,-100.151,-100.900,-101.377,-100.932,-98.359,-100.883,-101.851,-103.269,-102.389,-88.281
154.979,85.601,-97.962,-99.851,-97.980,-100.377,-100.475,-101.054,-99.691,-102.239,-98.578,-102.248,-102.655,-100.052,-101.607,-101.710,-101.420,-100.779,-101.733,-102.075,-101.625,-100.200,-101.246,-102.279,-99.076,-100.998,-99.874,-100.379,-99.700,-100.688,-100.531,-99.214,-101.030,-101.934,-100.546,-101.454,-98.838,-99.134,-100.801,-100.138,-100.757,-96.925,-97.319,-98.578,-99.696,-101.559,-101.016,-98.981,-100.616,-100.284,-99.667,-101.405,-99.820,-101.656,-99.479,-96.680,-95.762,-100.272,-99.284,-99.208,-99.558,-98.865,-101.658,-102.366,-103.798,-96.024,-100.585,-101.842,-99.779,-98.036,-99.102,-102.685,-98.598,-102.207,-96.724,-100.202,-100.859,-97.946,-102.054,-102.403,-102.242,-97.406,-98.284,-101.523,-101.397,-102.629,-98.888,-100.366,-100.431,-100.240,-101.894,-98.421,-99.392,-101.754,-100.660,-102.563,-96.974,-100.893,-100.916,-98.384,-102.043,-102.842,-88.539
164.933,85.601,-101.301,-103.588,-101.792,-101.790,-102.257,-102.239,-99.777,-101.714,-99.146,-101.275,-101.029,-101.537,-101.998,-98.601,-101.630,-98.561,-102.437,-100.418,-101.328,-100.733,-101.988,-82.859,-99.215,-102.254,-102.290,-99.363,-103.027,-101.843,-98.363,-100.630,-98.743,-100.323,-100.744,-99.364,-102.097,-99.536,-102.890,-99.629,-101.699,-100.727,-99.624,-99.422,-98.751,-101.981,-96.467,-101.059,-101.373,-98.363,-99.709,-103.318,-96.783,-102.649,-99.630,-93.488,-93.515,-99.276,-99.725,-99.581,-99.041,-97.064,-102.626,-98.320,-102.589,-96.418,-98.946,-102.686,-101.324,-100.420,-98.132,-102.488,-101.137,-99.303,-96.783,-101.088,-100.161,-98.010,-102.818,-103.408,-100.161,-97.878,-100.153,-101.015,-100.240,-101.247,-101.799,-99.812,-101.279,-98.021,-100.706,-100.805,-95.942,-102.447,-100.373,-101.483,-97.737,-99.753,-102.707,-99.738,-100.968,-102.247,-87.528
174.887,85.601,-96.873,-99.371,-100.607,-103.087,-99.124,-103.565,-101.243,-102.515,-101.049,-100.956,-102.424,-100.810,-100.084,-99.425,-100.419,-101.451,-101.706,-101.078,-100.210,-96.743,-101.765,-84.778,-99.853,-84.495,-99.773,-99.010,-100.072,-102.074,-101.955,-100.199,-101.692,-99.289,-99.302,-101.348,-101.578,-101.244,-102.366,-99.371,-101.225,-99.149,-97.964,-96.828,-98.398,-102.099,-100.653,-99.061,-101.072,-103.561,-97.389,-103.761,-98.829,-100.234,-96.820,-94.099,-92.949,-99.942,-98.327,-97.209,-100.748,-99.119,-101.554,-99.906,-101.808,-99.750,-98.875,-100.838,-100.563,-101.078,-98.058,-98.647,-100.452,-102.003,-96.312,-99.869,-101.509,-98.161,-100.797,-100.946,-100.531,-99.955,-99.909,-99.809,-101.733,-101.089,-99.617,-98.628,-100.330,-102.764,-101.979,-101.270,-99.550,-100.005,-99.557,-102.668,-99.533,-99.287,-101.482,-97.804,-98.491,-102.379,-88.564
184.841,85.601,-102.299,-100.075,-102.076,-100.593,-101.384,-101.519,-99.714,-100.982,-99.308,-102.583,-101.535,-100.542,-101.508,-100.939,-99.463,-99.411,-101.861,-102.126,-101.647,-103.786,-100.925,-100.158,-100.890,-83.061,-100.805,-101.539,-100.736,-102.294,-99.865,-100.156,-101.909,-102.783,-102.887,-99.885,-101.865,-102.183,-98.384,-99.091,-100.869,-98.426,-98.643,-99.295,-98.023,-101.478,-100.053,-100.222,-99.811,-98.945,-96.894,-103.223,-97.662,-101.769,-98.336,-94.161,-93.478,-101.529,-100.703,-100.224,-100.901,-99.013,-101.477,-101.469,-100.679,-97.076,-97.432,-100.060,-101.199,-99.629,-97.405,-99.803,-99.660,-102.408,-98.637,-98.854,-99.406,-97.035,-101.993,-100.104,-101.187,-99.614,-100.952,-100.039,-102.412,-97.747,-99.535,-100.663,-101.147,-100.604,-102.345,-100.822,-99.359,-100.081,-98.876,-103.260,-99.605,-101.145,-101.169,-98.640,-101.270,-102.527,-88.458
194.796,85.601,-100.604,-99.404,-100.221,-102.568,-98.875,-99.963,-100.489,-102.378,-98.061,-100.102,-102.336,-101.382,-102.206,-100.259,-101.994,-100.001,-102.162,-101.735,-101.535,-98.967,-100.896,-102.166,-101.798,-99.054,-101.112,-100.058,-103.306,-102.525,-98.624,-100.021,-97.714,-102.399,-102.181,-101.550,-101.064,-99.374,-100.788,-100.038,-101.485,-99.647,-97.102,-98.707,-99.207,-101.984,-100.377,-102.431,-101.275,-100.011,-99.826,-100.828,-97.587,-101.887,-100.209,-96.235,-92.733,-101.941,-98.422,-98.545,-100.712,-98.666,-102.563,-100.830,-101.271,-98.967,-101.551,-102.869,-102.545,-101.305,-100.995,-102.071,-99.730,-102.503,-95.961,-100.823,-100.973,-98.031,-100.940,-102.536,-101.896,-98.326,-100.875,-98.727,-102.588,-99.274,-102.292,-99.326,-100.976,-100.258,-99.128,-99.477,-99.807,-98.638,-99.004,-101.634,-96.382,-101.809,-101.055,-97.288,-101.464,-101.909,-88.522
204.750,85.601,-101.454,-102.134,-101.585,-101.590,-101.432,-101.974,-101.074,-101.727,-99.669,-97.789,-101.140,-100.626,-99.467,-101.839,-100.602,-100.614,-103.545,-98.879,-101.081,-96.291,-100.902,-101.980,-101.987,-84.888,-100.910,-101.070,-102.512,-101.641,-101.143,-99.176,-100.553,-96.748,-102.553,-100.752,-101.281,-99.171,-99.935,-99.450,-100.807,-97.986,-98.661,-100.313,-100.093,-100.122,-98.144,-98.121,-100.141,-101.005,-99.623,-102.431,-102.710,-101.081,-97.189,-92.891,-95.036,-100.970,-98.635,-98.554,-98.206,-101.184,-101.697,-99.057,-99.784,-95.846,-101.259,-101.018,-102.738,-101.579,-98.723,-100.562,-101.427,-102.566,-97.466,-100.916,-100.206,-95.452,-99.830,-100.643,-97.786,-100.310,-98.582,-98.896,-101.967,-99.920,-99.528,-100.737,-103.249,-99.920,-101.424,-99.086,-100.414,-102.548,-99.946,-103.396,-97.406,-99.461,-101.215,-101.808,-101.952,-101.213,-90.554
214.704,85.601,-98.657,-99.626,-101.834,-98.922,-104.267,-100.844,-99.238,-99.046,-101.569,-100.613,-101.790,-101.685,-102.992,-101.469,-100.166,-101.165,-102.600,-100.474,-100.474,-99.821,-101.090,-101.491,-101.093,-100.712,-102.162,-101.231,-102.802,-102.803,-100.829,-100.260,-101.109,-102.491,-100.459,-100.113,-101.313,-98.618,-99.749,-99.457,-98.624,-99.952,-99.232,-98.204,-98.289,-99.315,-103.171,-99.359,-99.800,-101.440,-97.653,-100.065,-97.400,-99.227,-100.419,-94.249,-92.121,-100.049,-99.577,-98.046,-102.299,-100.618,-101.698,-98.880,-102.653,-101.007,-100.439,-101.696,-101.782,-100.168,-98.974,-102.188,-99.592,-101.885,-97.348,-97.494,-100.888,-99.278,-102.796,-101.408,-101.964,-97.236,-98.687,-101.176,-101.783,-97.976,-99.074,-101.970,-99.019,-100.137,-100.074,-100.479,-100.526,-101.488,-100.727,-102.189,-97.554,-101.632,-100.813,-100.437,-101.355,-101.374,-89.421
