PhysicalX(mm),PhysicalY(mm),P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40,P41,P42,P43,P44,P45,P46,P47,P48,P49,P50,P51,P52,P53,P54,P55,P56,P57,P58,P59,P60,P61,P62,P63,P64,P65,P66,P67,P68,P69,P70,P71,P72,P73,P74,P75,P76,P77,P78,P79,P80,P81,P82,P83,P84,P85,P86,P87,P88,P89,P90,P91,P92,P93,P94,P95,P96,P97,P98,P99,P100
123.887,90.254,-93.638,-93.866,-92.454,-94.429,-92.698,-93.806,-94.154,-93.682,-95.257,-93.475,-93.961,-94.405,-93.178,-93.150,-94.526,-92.614,-92.653,-94.336,-92.246,-93.198,-93.462,-93.127,-95.333,-94.237,-91.748,-92.259,-92.329,-90.525,-94.324,-93.281,-94.535,-94.313,-96.549,-93.992,-92.245,-82.795,-82.221,-95.231,-93.860,-94.850,-95.003,-90.639,-92.999,-94.647,-91.922,-93.868,-92.304,-94.031,-94.962,-91.929,-93.334,-93.798,-87.931,-92.503,-92.430,-90.881,-93.464,-90.284,-93.555,-89.874,-94.331,-90.738,-92.698,-92.771,-94.091,-92.713,-94.371,-93.449,-94.403,-91.310,-94.531,-94.479,-92.971,-93.854,-91.332,-89.705,-93.778,-92.274,-93.635,-91.875,-91.888,-94.390,-92.396,-94.472,-91.529,-92.061,-92.749,-91.947,-91.561,-93.928,-89.559,-93.344,-93.079,-94.186,-91.785,-94.408,-93.333,-92.237,-93.397,-94.827,-93.504
145.161,90.254,-91.371,-96.315,-97.101,-94.438,-92.362,-95.320,-90.531,-93.490,-93.741,-93.899,-95.859,-93.526,-93.372,-93.791,-92.614,-91.048,-93.534,-93.867,-93.958,-91.833,-91.050,-93.594,-93.267,-94.011,-93.351,-93.869,-92.823,-93.042,-92.364,-91.112,-93.431,-92.948,-95.484,-92.813,-93.732,-93.322,-93.382,-90.719,-94.589,-95.461,-91.690,-92.445,-91.741,-93.056,-94.898,-93.512,-93.769,-92.684,-93.712,-92.004,-94.729,-91.782,-90.968,-92.701,-92.678,-94.574,-90.644,-90.130,-95.043,-92.454,-94.471,-89.853,-93.538,-93.593,-89.626,-90.860,-92.598,-91.322,-93.060,-93.957,-94.506,-91.980,-90.561,-93.280,-91.703,-87.472,-93.754,-93.201,-94.211,-91.866,-92.594,-93.419,-93.759,-92.891,-94.290,-91.103,-91.829,-93.003,-92.584,-93.795,-92.673,-94.964,-92.590,-94.555,-93.567,-92.722,-92.747,-94.955,-92.554,-93.918,-93.445
166.434,90.254,-92.927,-94.058,-92.936,-94.090,-94.271,-91.244,-95.987,-92.240,-93.771,-92.659,-93.555,-92.510,-93.883,-94.644,-91.504,-93.104,-91.182,-92.745,-93.750,-92.412,-94.554,-91.563,-94.172,-93.626,-92.689,-91.761,-93.419,-93.277,-94.271,-91.020,-95.005,-92.273,-91.301,-94.228,-95.445,-83.439,-93.722,-93.501,-95.302,-93.051,-91.774,-93.870,-90.726,-91.866,-91.607,-96.921,-93.495,-95.497,-94.123,-91.950,-90.571,-93.187,-92.239,-93.198,-93.425,-92.117,-93.268,-93.584,-94.173,-95.268,-91.741,-92.684,-92.242,-93.933,-93.559,-94.240,-93.709,-92.011,-95.494,-94.136,-91.327,-94.548,-94.083,-94.813,-91.510,-85.317,-92.782,-94.703,-93.535,-91.684,-91.120,-93.391,-90.937,-95.495,-92.248,-93.373,-91.328,-92.786,-96.064,-93.188,-92.956,-92.419,-96.477,-92.789,-93.838,-91.821,-90.782,-93.408,-92.498,-92.754,-92.977
187.707,90.254,-93.569,-93.606,-92.447,-93.209,-94.588,-92.107,-94.844,-93.063,-92.380,-91.535,-91.931,-92.605,-92.000,-94.790,-93.917,-92.789,-92.141,-92.471,-94.840,-94.976,-92.225,-93.125,-94.510,-94.049,-92.058,-92.953,-95.186,-93.749,-89.238,-93.469,-89.991,-91.259,-93.051,-94.623,-93.926,-94.103,-93.252,-92.104,-94.545,-93.896,-94.061,-94.463,-89.853,-93.553,-91.835,-91.304,-94.835,-93.386,-95.173,-93.429,-92.696,-95.092,-91.960,-91.646,-93.634,-92.675,-93.766,-93.097,-91.871,-91.402,-91.124,-92.179,-92.964,-95.997,-92.829,-92.592,-92.232,-92.804,-90.541,-92.300,-91.589,-94.025,-94.143,-92.179,-93.688,-88.256,-93.669,-93.142,-89.767,-90.255,-91.554,-92.202,-92.207,-91.669,-94.234,-94.790,-91.591,-93.165,-92.608,-93.551,-92.685,-93.144,-94.210,-93.004,-93.291,-92.114,-93.969,-93.942,-92.817,-94.176,-93.105
208.980,90.254,-92.706,-93.233,-92.199,-94.172,-94.760,-91.746,-95.883,-95.004,-93.804,-92.882,-92.634,-93.679,-92.312,-92.705,-94.399,-91.965,-92.587,-92.680,-92.117,-91.090,-93.110,-93.993,-92.258,-92.708,-90.232,-90.726,-92.685,-94.474,-92.679,-95.513,-92.359,-90.941,-93.636,-94.610,-91.866,-92.460,-91.703,-92.825,-93.166,-94.076,-95.117,-93.731,-93.563,-94.708,-92.987,-92.097,-92.904,-93.521,-94.728,-92.343,-93.188,-92.643,-88.585,-90.687,-92.935,-93.039,-94.122,-92.446,-93.388,-94.419,-94.608,-93.860,-95.081,-91.938,-92.177,-94.510,-92.789,-90.744,-91.972,-93.047,-93.486,-93.675,-95.455,-92.741,-93.073,-87.372,-94.743,-93.286,-93.331,-92.875,-93.548,-91.785,-91.913,-93.504,-93.506,-95.150,-94.483,-89.780,-90.199,-93.834,-92.700,-93.770,-92.831,-94.041,-94.298,-92.940,-91.562,-93.708,-93.870,-93.342,-91.511
230.253,90.254,-92.649,-92.817,-93.705,-92.581,-95.603,-94.209,-92.466,-93.697,-93.995,-88.518,-95.089,-93.714,-93.063,-92.481,-92.317,-93.090,-93.905,-93.933,-90.185,-93.682,-92.744,-95.617,-95.297,-92.568,-94.813,-96.246,-95.361,-91.875,-93.698,-92.762,-92.418,-94.068,-94.102,-95.525,-94.610,-83.637,-93.284,-91.447,-90.254,-94.002,-93.193,-90.754,-92.405,-91.572,-91.153,-92.933,-96.677,-94.149,-93.286,-93.843,-92.322,-92.828,-90.429,-95.122,-93.733,-92.783,-92.359,-91.627,-93.798,-93.165,-90.263,-91.362,-94.818,-91.438,-92.935,-91.707,-92.541,-91.132,-91.802,-94.497,-91.670,-93.298,-91.115,-94.796,-94.938,-87.150,-91.770,-93.064,-94.971,-94.193,-91.168,-93.582,-93.673,-92.240,-92.517,-92.423,-91.721,-92.415,-91.150,-93.356,-92.682,-94.923,-91.633,-91.615,-93.857,-94.142,-92.869,-91.082,-92.019,-92.086,-93.803
251.526,90.254,-94.232,-94.562,-91.017,-95.083,-93.706,-94.291,-91.763,-91.192,-93.683,-93.776,-92.304,-93.055,-92.126,-91.959,-94.663,-92.657,-90.967,-91.119,-94.738,-93.977,-92.950,-94.320,-90.131,-92.518,-92.743,-91.294,-94.041,-94.765,-92.621,-92.597,-92.958,-92.218,-94.199,-93.324,-92.247,-92.553,-91.369,-93.431,-91.268,-93.507,-91.767,-93.168,-92.311,-93.020,-93.353,-92.750,-92.078,-91.096,-94.416,-91.395,-93.324,-89.438,-89.372,-93.318,-91.141,-92.259,-93.887,-91.301,-92.674,-90.752,-92.133,-91.916,-93.096,-92.996,-95.836,-93.232,-90.220,-93.293,-92.033,-91.582,-91.038,-93.086,-93.062,-94.074,-95.676,-87.114,-92.202,-94.062,-92.443,-93.362,-93.293,-93.711,-93.903,-92.618,-90.190,-92.495,-92.974,-93.543,-92.694,-93.527,-90.880,-91.835,-94.297,-93.951,-92.442,-91.210,-92.413,-92.145,-90.048,-92.060,-94.744
272.799,90.254,-90.264,-92.597,-95.498,-90.103,-90.590,-93.550,-92.995,-90.836,-91.932,-95.844,-94.393,-90.924,-94.021,-91.880,-93.249,-91.576,-91.596,-90.899,-93.011,-91.236,-92.444,-93.394,-91.192,-93.717,-94.289,-92.922,-92.318,-94.103,-96.514,-91.724,-90.874,-90.790,-95.009,-91.758,-92.829,-92.773,-90.318,-92.704,-96.270,-91.367,-91.661,-91.777,-91.514,-91.919,-93.586,-92.610,-93.225,-95.308,-92.985,-93.099,-94.358,-89.946,-90.237,-92.901,-93.069,-91.948,-93.382,-93.537,-92.977,-92.493,-92.701,-92.597,-91.895,-92.140,-94.469,-95.543,-91.919,-91.029,-93.443,-94.002,-91.638,-92.920,-92.886,-91.588,-91.630,-86.966,-91.393,-91.223,-95.384,-93.348,-91.892,-92.650,-90.350,-92.447,-93.573,-90.663,-91.417,-94.187,-94.623,-92.909,-92.495,-91.169,-91.120,-93.688,-93.193,-92.489,-93.237,-93.698,-93.843,-92.946,-93.659
294.072,90.254,-93.851,-93.200,-93.530,-93.936,-91.574,-92.709,-92.918,-94.630,-94.057,-94.723,-91.269,-92.607,-92.358,-92.542,-95.529,-94.404,-92.092,-93.803,-92.478,-95.639,-91.462,-94.524,-94.568,-95.214,-93.183,-92.217,-92.827,-93.864,-95.010,-94.514,-93.234,-94.262,-91.175,-89.179,-93.883,-82.018,-92.213,-93.854,-93.039,-91.371,-93.509,-93.342,-93.554,-93.099,-93.713,-91.051,-93.811,-93.459,-94.452,-90.404,-95.816,-91.983,-86.826,-91.511,-90.222,-90.341,-94.356,-92.551,-93.216,-94.451,-93.919,-92.948,-91.094,-95.243,-94.867,-92.109,-92.174,-95.098,-92.184,-91.172,-90.899,-94.866,-92.585,-94.522,-93.899,-90.842,-93.535,-94.792,-92.450,-93.284,-93.156,-94.556,-92.020,-92.112,-91.933,-95.662,-92.672,-92.421,-95.850,-94.033,-93.001,-91.288,-91.731,-93.804,-94.423,-92.437,-92.307,-92.925,-93.268,-94.817,-93.673
315.345,90.254,-92.798,-91.803,-93.510,-94.609,-91.974,-92.205,-96.319,-93.370,-93.736,-93.740,-92.583,-94.258,-91.946,-95.171,-92.096,-94.268,-96.518,-93.353,-93.070,-94.402,-92.087,-93.885,-91.888,-92.711,-91.154,-93.593,-92.577,-93.888,-92.832,-90.190,-91.602,-91.525,-93.423,-93.648,-92.671,-95.314,-94.601,-91.019,-91.733,-91.070,-93.962,-93.140,-90.983,-92.234,-91.584,-94.478,-92.739,-93.523,-92.766,-92.101,-90.854,-93.656,-87.769,-92.341,-93.019,-95.159,-91.870,-93.280,-92.730,-92.419,-92.857,-92.441,-90.926,-93.622,-92.651,-91.292,-90.782,-90.688,-93.039,-92.631,-92.089,-90.835,-93.891,-93.108,-90.607,-88.917,-89.184,-91.157,-93.325,-93.608,-93.511,-93.406,-93.163,-92.872,-93.322,-93.668,-96.326,-92.908,-92.904,-91.062,-93.356,-90.551,-92.004,-94.220,-93.280,-93.414,-93.159,-91.899,-94.638,-93.235,-91.290
