PhysicalX(mm),PhysicalY(mm),P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40,P41,P42,P43,P44,P45,P46,P47,P48,P49,P50,P51,P52,P53,P54,P55,P56,P57,P58,P59,P60,P61,P62,P63,P64,P65,P66,P67,P68,P69,P70,P71,P72,P73,P74,P75,P76,P77,P78,P79,P80,P81,P82,P83,P84,P85,P86,P87,P88,P89,P90,P91,P92,P93,P94,P95,P96,P97,P98,P99,P100
124.338,91.097,-101.378,-100.898,-100.831,-101.814,-102.602,-101.484,-101.379,-102.037,-100.654,-100.948,-100.287,-101.465,-102.431,-100.704,-101.953,-100.991,-101.921,-100.586,-100.532,-100.843,-100.114,-100.454,-100.489,-99.442,-88.839,-86.262,-88.124,-99.681,-99.860,-99.760,-101.101,-100.308,-102.289,-100.149,-98.439,-101.786,-100.871,-101.064,-100.255,-98.541,-100.228,-101.504,-100.416,-100.712,-100.196,-100.219,-98.614,-99.626,-100.520,-98.243,-98.421,-98.995,-95.120,-98.739,-100.432,-97.791,-101.680,-96.423,-100.524,-99.646,-100.375,-95.999,-100.885,-99.827,-100.184,-100.302,-99.416,-101.883,-98.901,-98.982,-99.633,-97.672,-98.699,-101.262,-97.680,-88.148,-99.899,-96.451,-99.235,-100.225,-99.452,-100.086,-97.914,-99.129,-100.501,-100.093,-100.291,-101.071,-98.945,-100.131,-99.141,-97.674,-99.242,-98.525,-100.723,-101.862,-99.686,-98.430,-100.175,-98.555,-99.459
134.438,91.097,-102.306,-101.020,-101.890,-99.783,-99.712,-101.673,-102.176,-100.805,-100.866,-101.141,-101.124,-99.677,-99.069,-100.803,-100.241,-101.970,-101.138,-101.181,-99.575,-100.275,-99.545,-101.083,-100.908,-96.534,-93.856,-84.954,-94.591,-99.140,-101.131,-101.446,-101.100,-99.207,-100.890,-101.281,-99.621,-100.613,-98.584,-100.038,-101.308,-101.652,-99.111,-98.758,-97.433,-101.524,-98.200,-100.217,-100.673,-97.465,-98.785,-98.636,-97.492,-98.948,-92.906,-98.190,-100.332,-101.021,-99.148,-100.027,-99.320,-97.939,-98.786,-98.029,-99.999,-97.737,-100.448,-99.494,-100.288,-99.085,-98.967,-99.372,-100.191,-100.137,-95.801,-100.839,-99.890,-89.307,-100.540,-99.487,-98.262,-99.894,-98.644,-99.653,-95.015,-98.177,-97.774,-98.919,-97.978,-98.241,-99.150,-99.648,-100.326,-99.615,-97.748,-100.137,-99.607,-100.899,-100.953,-101.549,-98.078,-98.306,-98.858
144.539,91.097,-101.049,-101.748,-101.070,-102.360,-101.677,-101.551,-100.812,-102.349,-101.343,-100.465,-99.547,-100.861,-101.263,-101.291,-101.407,-100.059,-100.630,-101.670,-100.035,-98.833,-98.900,-98.912,-101.200,-99.460,-89.409,-86.906,-94.348,-100.210,-101.678,-100.203,-99.201,-100.439,-99.146,-100.039,-97.219,-99.601,-98.872,-100.991,-100.988,-99.702,-98.101,-99.960,-100.152,-99.951,-99.891,-101.863,-98.197,-101.781,-101.473,-98.319,-96.727,-100.950,-91.657,-98.422,-98.630,-97.629,-101.894,-98.287,-100.129,-97.234,-98.952,-99.290,-100.096,-101.204,-100.226,-99.645,-98.614,-99.971,-98.445,-101.482,-101.683,-96.546,-96.905,-101.479,-98.576,-88.078,-98.858,-97.504,-98.459,-97.133,-99.764,-99.941,-98.385,-99.363,-99.426,-100.153,-101.557,-100.648,-99.616,-97.591,-98.118,-98.487,-99.274,-101.765,-100.296,-101.407,-98.898,-99.145,-100.699,-97.942,-100.852
154.639,91.097,-100.714,-102.736,-101.427,-101.904,-100.116,-100.266,-99.685,-100.109,-101.677,-98.385,-101.350,-101.014,-102.032,-99.862,-99.862,-101.646,-99.726,-98.657,-99.208,-100.144,-101.838,-102.227,-100.734,-96.571,-94.118,-86.375,-94.119,-98.641,-98.934,-97.820,-97.889,-99.895,-100.953,-99.070,-101.000,-100.394,-100.238,-101.849,-99.808,-99.380,-99.824,-101.572,-97.391,-101.334,-100.279,-99.544,-99.814,-97.742,-101.547,-98.430,-98.668,-98.933,-94.169,-100.418,-101.236,-98.599,-100.593,-98.704,-99.899,-99.992,-100.503,-99.235,-98.207,-100.602,-96.484,-99.295,-100.197,-98.140,-99.403,-98.861,-99.696,-98.500,-96.291,-100.775,-99.127,-86.835,-100.415,-100.369,-99.273,-96.916,-99.917,-100.581,-95.962,-97.657,-98.630,-99.387,-99.426,-99.203,-100.651,-101.540,-101.468,-100.624,-98.678,-100.529,-101.160,-100.283,-97.921,-98.631,-98.252,-99.633,-101.115
164.740,91.097,-98.105,-100.800,-101.137,-100.014,-101.265,-101.035,-100.686,-100.125,-102.036,-102.366,-102.097,-102.012,-98.734,-101.883,-99.121,-99.288,-100.639,-101.162,-101.097,-101.879,-101.385,-101.417,-101.053,-100.785,-96.098,-86.204,-90.383,-97.313,-100.793,-100.504,-98.182,-100.217,-100.404,-98.955,-97.194,-101.145,-99.881,-99.358,-99.805,-97.808,-100.648,-100.253,-100.123,-100.228,-100.907,-100.811,-99.330,-100.309,-97.665,-98.068,-99.499,-98.098,-94.092,-98.028,-96.847,-98.349,-100.223,-97.370,-98.582,-100.729,-97.862,-99.832,-101.058,-98.350,-100.142,-101.502,-101.096,-99.557,-97.703,-100.549,-96.530,-100.849,-98.936,-101.624,-97.708,-88.316,-98.928,-97.308,-101.333,-97.858,-100.675,-97.516,-97.899,-99.109,-99.003,-100.438,-100.776,-99.535,-99.256,-100.579,-100.740,-98.229,-96.129,-100.016,-100.781,-102.757,-100.845,-101.371,-99.360,-100.960,-99.181
174.840,91.097,-101.018,-101.141,-100.277,-101.807,-99.216,-102.368,-101.720,-101.350,-102.075,-100.645,-101.379,-100.787,-101.983,-99.578,-100.857,-100.911,-100.752,-100.828,-102.243,-101.160,-101.720,-102.023,-99.730,-100.013,-90.084,-84.058,-88.877,-100.607,-99.867,-100.964,-100.056,-100.726,-101.205,-101.876,-100.153,-99.654,-100.018,-100.272,-97.031,-98.040,-98.888,-100.225,-101.019,-101.388,-97.615,-99.927,-98.167,-98.861,-100.070,-96.629,-98.547,-99.758,-95.759,-98.221,-98.526,-97.398,-101.173,-98.333,-101.337,-100.993,-100.713,-97.525,-99.525,-100.496,-98.734,-99.542,-99.176,-100.657,-101.028,-99.660,-100.758,-100.754,-101.099,-101.738,-98.996,-87.117,-98.993,-99.612,-99.954,-100.084,-98.071,-100.211,-100.356,-96.722,-100.047,-99.992,-97.569,-99.254,-101.707,-98.988,-100.395,-98.496,-99.114,-98.610,-100.594,-101.498,-97.732,-99.319,-100.943,-101.096,-100.086
184.941,91.097,-99.732,-101.794,-101.279,-101.788,-102.301,-100.938,-100.233,-101.941,-100.299,-101.515,-100.348,-101.386,-101.407,-100.877,-101.219,-102.427,-100.128,-100.872,-102.620,-100.447,-99.519,-100.378,-101.620,-99.456,-93.670,-85.183,-91.632,-99.815,-100.690,-99.771,-96.847,-100.128,-100.743,-100.932,-101.323,-99.213,-100.322,-97.801,-100.973,-99.514,-101.489,-100.063,-100.703,-100.761,-99.439,-100.463,-100.890,-98.313,-101.832,-99.867,-99.796,-102.179,-94.289,-97.974,-98.954,-99.142,-99.377,-99.039,-97.065,-98.788,-100.351,-97.134,-101.326,-100.176,-101.158,-98.368,-99.918,-100.509,-99.514,-97.680,-100.646,-98.782,-97.583,-98.456,-99.987,-88.514,-97.113,-99.162,-95.423,-98.589,-98.041,-100.045,-96.859,-100.430,-101.233,-101.225,-99.356,-99.838,-100.603,-99.205,-99.821,-98.225,-99.869,-96.648,-101.403,-100.773,-98.627,-100.454,-97.685,-98.854,-100.098
195.041,91.097,-101.722,-101.476,-100.257,-101.019,-100.223,-101.763,-100.729,-101.745,-101.271,-101.153,-100.444,-102.467,-99.036,-100.977,-101.197,-100.970,-100.564,-98.637,-99.434,-100.404,-99.434,-102.655,-101.277,-97.905,-93.948,-85.423,-94.868,-99.736,-101.320,-99.645,-101.739,-102.033,-102.702,-99.724,-100.904,-101.766,-100.635,-99.506,-100.840,-98.292,-98.379,-99.357,-97.025,-98.697,-99.745,-101.406,-98.937,-97.732,-98.013,-97.632,-97.195,-100.349,-94.722,-98.354,-98.878,-98.494,-100.688,-99.671,-100.981,-98.892,-97.956,-96.751,-101.544,-101.523,-100.890,-101.027,-100.180,-100.846,-99.762,-99.023,-100.992,-99.476,-98.816,-101.945,-98.110,-87.491,-96.761,-100.401,-98.009,-98.524,-100.334,-99.839,-97.034,-98.836,-101.398,-100.935,-98.476,-101.157,-98.844,-101.736,-97.723,-101.290,-99.222,-101.935,-101.278,-100.250,-101.696,-99.033,-100.853,-99.626,-99.637
205.141,91.097,-100.487,-101.446,-101.645,-101.519,-101.534,-101.937,-101.507,-100.405,-101.598,-101.785,-98.856,-101.523,-99.807,-100.433,-101.027,-101.458,-99.832,-98.355,-99.640,-99.820,-101.611,-100.451,-100.497,-97.706,-89.759,-89.037,-89.556,-100.712,-100.014,-100.066,-101.383,-101.783,-102.018,-101.596,-100.848,-83.648,-99.190,-101.017,-100.284,-100.385,-99.125,-100.698,-99.809,-101.461,-100.852,-98.036,-98.106,-99.329,-100.285,-98.576,-96.036,-98.983,-93.499,-98.609,-100.363,-99.644,-101.585,-99.305,-99.301,-98.587,-99.276,-96.505,-100.335,-98.191,-99.593,-100.966,-97.653,-101.331,-99.463,-98.955,-97.338,-97.776,-98.463,-101.031,-101.373,-88.805,-100.314,-99.574,-98.795,-99.655,-95.513,-102.861,-100.040,-96.003,-101.119,-95.753,-99.391,-100.441,-98.515,-99.282,-99.454,-98.294,-98.316,-99.178,-101.531,-96.551,-100.417,-98.714,-100.605,-100.030,-100.549
215.242,91.097,-99.433,-100.805,-101.219,-102.081,-101.405,-100.791,-99.564,-101.272,-101.198,-101.474,-99.102,-100.800,-101.028,-101.939,-101.326,-101.842,-100.297,-100.933,-100.841,-102.538,-100.457,-101.976,-99.789,-99.763,-94.898,-86.097,-95.116,-100.800,-99.625,-99.680,-100.765,-98.727,-100.712,-102.536,-101.934,-83.984,-98.002,-101.409,-100.071,-98.385,-98.065,-99.497,-99.776,-100.342,-97.769,-101.300,-99.969,-99.354,-100.874,-97.455,-96.834,-100.539,-96.073,-97.841,-101.419,-97.631,-98.274,-98.249,-102.358,-100.476,-100.302,-99.740,-100.948,-98.140,-100.955,-101.713,-96.601,-100.620,-99.975,-99.200,-97.241,-100.081,-99.450,-98.671,-100.393,-89.860,-100.570,-97.770,-97.321,-100.352,-97.768,-99.187,-96.242,-97.915,-99.811,-100.549,-99.556,-100.303,-99.673,-96.957,-100.509,-99.306,-98.862,-100.134,-99.995,-102.574,-97.824,-100.104,-99.596,-100.328,-99.700
