PhysicalX(mm),PhysicalY(mm),MaxAmplitude(dBm)
125.239,91.518,-84.278
146.362,91.518,-87.714
167.485,91.518,-79.837
188.608,91.518,-81.152
209.731,91.518,-81.425
230.854,91.518,-81.284
251.976,91.518,-80.837
273.099,91.518,-87.566
294.222,91.518,-88.128
315.345,91.518,-88.989
125.239,103.096,-88.922
146.362,103.096,-82.931
167.485,103.096,-87.570
188.608,103.096,-82.291
209.731,103.096,-86.488
230.854,103.096,-88.848
251.976,103.096,-81.652
273.099,103.096,-88.195
294.222,103.096,-89.113
315.345,103.096,-81.656
125.239,114.675,-82.273
146.362,114.675,-81.850
167.485,114.675,-87.296
188.608,114.675,-88.531
209.731,114.675,-87.425
230.854,114.675,-87.579
251.976,114.675,-83.429
273.099,114.675,-89.353
294.222,114.675,-88.118
315.345,114.675,-80.503
125.239,126.254,-88.906
146.362,126.254,-82.785
167.485,126.254,-87.839
188.608,126.254,-87.756
209.731,126.254,-81.629
230.854,126.254,-81.098
251.976,126.254,-81.192
273.099,126.254,-88.563
294.222,126.254,-89.713
315.345,126.254,-82.041
125.239,137.833,-88.179
146.362,137.833,-90.353
167.485,137.833,-86.301
188.608,137.833,-89.134
209.731,137.833,-82.962
230.854,137.833,-89.231
251.976,137.833,-88.916
273.099,137.833,-82.938
294.222,137.833,-82.164
315.345,137.833,-81.632
