PhysicalX(mm),PhysicalY(mm),MaxAmplitude(dBm)
123.887,90.254,-82.221
145.161,90.254,-87.472
166.434,90.254,-83.439
187.707,90.254,-88.256
208.980,90.254,-87.372
230.253,90.254,-83.637
251.526,90.254,-87.114
272.799,90.254,-86.966
294.072,90.254,-82.018
315.345,90.254,-87.769
123.887,101.833,-83.452
145.161,101.833,-88.507
166.434,101.833,-86.567
187.707,101.833,-84.609
208.980,101.833,-87.393
230.253,101.833,-82.769
251.526,101.833,-81.859
272.799,101.833,-84.606
294.072,101.833,-81.341
315.345,101.833,-88.586
123.887,113.412,-84.582
145.161,113.412,-89.920
166.434,113.412,-87.163
187.707,113.412,-83.796
208.980,113.412,-87.485
230.253,113.412,-88.407
251.526,113.412,-87.704
272.799,113.412,-89.552
294.072,113.412,-83.424
315.345,113.412,-88.082
123.887,124.991,-83.908
145.161,124.991,-90.570
166.434,124.991,-88.231
187.707,124.991,-82.192
208.980,124.991,-82.334
230.253,124.991,-90.398
251.526,124.991,-87.905
272.799,124.991,-89.063
294.072,124.991,-83.342
315.345,124.991,-88.437
123.887,136.570,-84.890
145.161,136.570,-88.658
166.434,136.570,-87.273
187.707,136.570,-82.969
208.980,136.570,-88.230
230.253,136.570,-89.889
251.526,136.570,-82.173
272.799,136.570,-88.661
294.072,136.570,-87.158
315.345,136.570,-88.398
