PhysicalX(mm),PhysicalY(mm),MaxAmplitude(dBm)
257.692,-156.721,-96.898
265.528,-156.721,-97.426
273.363,-156.721,-95.581
281.198,-156.721,-94.110
289.033,-156.721,-95.087
296.868,-156.721,-95.788
304.703,-156.721,-95.411
312.538,-156.721,-94.787
320.373,-156.721,-95.054
328.208,-156.721,-96.073
257.692,-147.191,-96.731
265.528,-147.191,-96.809
273.363,-147.191,-96.983
281.198,-147.191,-96.046
289.033,-147.191,-95.318
296.868,-147.191,-97.000
304.703,-147.191,-97.045
312.538,-147.191,-96.153
320.373,-147.191,-96.147
328.208,-147.191,-96.845
257.692,-137.660,-96.684
265.528,-137.660,-95.418
273.363,-137.660,-97.376
281.198,-137.660,-96.301
289.033,-137.660,-97.563
296.868,-137.660,-94.391
304.703,-137.660,-96.885
312.538,-137.660,-97.418
320.373,-137.660,-96.081
328.208,-137.660,-96.126
257.692,-128.129,-96.549
265.528,-128.129,-95.851
273.363,-128.129,-96.270
281.198,-128.129,-96.413
289.033,-128.129,-96.518
296.868,-128.129,-95.707
304.703,-128.129,-96.537
312.538,-128.129,-96.112
320.373,-128.129,-94.756
328.208,-128.129,-95.247
257.692,-118.598,-95.571
265.528,-118.598,-96.403
273.363,-118.598,-96.654
281.198,-118.598,-96.422
289.033,-118.598,-95.965
296.868,-118.598,-96.100
304.703,-118.598,-96.382
312.538,-118.598,-96.116
320.373,-118.598,-95.827
328.208,-118.598,-96.149
257.692,-109.068,-95.890
265.528,-109.068,-96.522
273.363,-109.068,-96.841
281.198,-109.068,-96.777
289.033,-109.068,-96.296
296.868,-109.068,-96.202
304.703,-109.068,-96.381
312.538,-109.068,-96.628
320.373,-109.068,-96.961
328.208,-109.068,-97.392
257.692,-99.537,-96.209
265.528,-99.537,-96.426
273.363,-99.537,-96.140
281.198,-99.537,-95.923
289.033,-99.537,-95.712
296.868,-99.537,-95.704
304.703,-99.537,-95.991
312.538,-99.537,-96.529
320.373,-99.537,-97.015
328.208,-99.537,-97.210
257.692,-90.006,-95.634
265.528,-90.006,-95.898
273.363,-90.006,-95.250
281.198,-90.006,-94.689
289.033,-90.006,-94.545
296.868,-90.006,-94.842
304.703,-90.006,-95.440
312.538,-90.006,-96.131
320.373,-90.006,-96.621
328.208,-90.006,-96.666
257.692,-80.475,-94.488
265.528,-80.475,-94.537
273.363,-80.475,-94.154
281.198,-80.475,-93.778
289.033,-80.475,-93.806
296.868,-80.475,-94.493
304.703,-80.475,-95.327
312.538,-80.475,-96.059
320.373,-80.475,-96.445
328.208,-80.475,-96.149
257.692,-70.945,-95.898
265.528,-70.945,-95.524
273.363,-70.945,-95.148
281.198,-70.945,-95.069
289.033,-70.945,-95.443
296.868,-70.945,-96.220
304.703,-70.945,-96.961
312.538,-70.945,-97.476
320.373,-70.945,-97.505
328.208,-70.945,-96.797
