PhysicalX(mm),PhysicalY(mm),MaxAmplitude(dBm)
232.979,114.936,-84.726
236.382,114.936,-84.685
239.786,114.936,-83.345
243.189,114.936,-83.394
246.592,114.936,-84.313
249.996,114.936,-84.438
253.399,114.936,-83.366
256.802,114.936,-84.316
260.205,114.936,-83.723
263.609,114.936,-84.750
267.012,114.936,-84.029
270.415,114.936,-81.800
273.819,114.936,-84.035
277.222,114.936,-84.464
280.625,114.936,-83.999
232.979,118.770,-83.828
236.382,118.770,-83.215
239.786,118.770,-82.223
243.189,118.770,-83.865
246.592,118.770,-82.708
249.996,118.770,-83.814
253.399,118.770,-84.062
256.802,118.770,-83.802
260.205,118.770,-84.264
263.609,118.770,-83.824
267.012,118.770,-84.342
270.415,118.770,-84.127
273.819,118.770,-83.792
277.222,118.770,-83.268
280.625,118.770,-84.519
232.979,122.603,-83.287
236.382,122.603,-84.344
239.786,122.603,-84.279
243.189,122.603,-83.404
246.592,122.603,-84.293
249.996,122.603,-82.459
253.399,122.603,-83.323
256.802,122.603,-83.859
260.205,122.603,-83.560
263.609,122.603,-84.348
267.012,122.603,-84.235
270.415,122.603,-83.542
273.819,122.603,-83.979
277.222,122.603,-82.710
280.625,122.603,-83.112
232.979,126.437,-84.531
236.382,126.437,-83.079
239.786,126.437,-83.452
243.189,126.437,-83.420
246.592,126.437,-83.516
249.996,126.437,-82.907
253.399,126.437,-83.642
256.802,126.437,-84.473
260.205,126.437,-83.497
263.609,126.437,-84.006
267.012,126.437,-83.736
270.415,126.437,-84.817
273.819,126.437,-83.337
277.222,126.437,-83.560
280.625,126.437,-84.646
232.979,130.270,-84.120
236.382,130.270,-84.260
239.786,130.270,-84.272
243.189,130.270,-83.885
246.592,130.270,-84.259
249.996,130.270,-84.784
253.399,130.270,-84.497
256.802,130.270,-83.494
260.205,130.270,-84.317
263.609,130.270,-83.870
267.012,130.270,-84.385
270.415,130.270,-82.970
273.819,130.270,-83.984
277.222,130.270,-82.812
280.625,130.270,-84.217
232.979,134.103,-83.410
236.382,134.103,-84.569
239.786,134.103,-84.073
243.189,134.103,-83.348
246.592,134.103,-83.974
249.996,134.103,-84.636
253.399,134.103,-83.517
256.802,134.103,-83.623
260.205,134.103,-83.806
263.609,134.103,-83.663
267.012,134.103,-83.391
270.415,134.103,-84.148
273.819,134.103,-83.856
277.222,134.103,-83.572
280.625,134.103,-83.322
232.979,137.937,-83.428
236.382,137.937,-83.376
239.786,137.937,-84.229
243.189,137.937,-83.450
246.592,137.937,-83.065
249.996,137.937,-83.337
253.399,137.937,-83.095
256.802,137.937,-84.425
260.205,137.937,-84.801
263.609,137.937,-83.329
267.012,137.937,-84.593
270.415,137.937,-82.502
273.819,137.937,-84.157
277.222,137.937,-83.111
280.625,137.937,-83.260
232.979,141.770,-84.332
236.382,141.770,-84.762
239.786,141.770,-84.733
243.189,141.770,-84.067
246.592,141.770,-83.673
249.996,141.770,-84.369
253.399,141.770,-83.825
256.802,141.770,-80.852
260.205,141.770,-84.215
263.609,141.770,-83.885
267.012,141.770,-84.271
270.415,141.770,-84.303
273.819,141.770,-84.415
277.222,141.770,-83.473
280.625,141.770,-83.882
232.979,145.603,-85.030
236.382,145.603,-84.402
239.786,145.603,-84.938
243.189,145.603,-83.676
246.592,145.603,-84.000
249.996,145.603,-85.058
253.399,145.603,-84.585
