PhysicalX(mm),PhysicalY(mm),MaxAmplitude(dBm)
137.250,106.484,-86.708
140.455,106.484,-85.371
143.659,106.484,-84.336
146.863,106.484,-84.395
150.068,106.484,-85.111
153.272,106.484,-83.897
156.477,106.484,-85.072
159.681,106.484,-84.274
162.886,106.484,-83.786
166.090,106.484,-83.987
169.294,106.484,-84.262
172.499,106.484,-83.715
175.703,106.484,-83.995
178.908,106.484,-83.975
182.112,106.484,-83.278
185.316,106.484,-83.082
188.521,106.484,-82.166
191.725,106.484,-82.829
194.930,106.484,-82.252
198.134,106.484,-83.071
201.339,106.484,-82.479
204.543,106.484,-82.786
207.747,106.484,-81.946
210.952,106.484,-81.971
214.156,106.484,-82.829
217.361,106.484,-84.090
220.565,106.484,-83.172
223.769,106.484,-84.032
226.974,106.484,-83.896
230.178,106.484,-84.539
233.383,106.484,-84.175
236.587,106.484,-85.030
239.792,106.484,-85.627
242.996,106.484,-85.722
246.200,106.484,-85.954
249.405,106.484,-86.140
252.609,106.484,-86.457
255.814,106.484,-87.355
259.018,106.484,-87.482
262.222,106.484,-89.176
265.427,106.484,-88.857
268.631,106.484,-89.145
271.836,106.484,-89.247
275.040,106.484,-89.893
278.245,106.484,-89.352
281.449,106.484,-90.225
284.653,106.484,-89.647
287.858,106.484,-89.628
291.062,106.484,-89.122
294.267,106.484,-89.880
297.471,106.484,-89.390
300.675,106.484,-90.548
303.880,106.484,-86.025
307.084,106.484,-86.798
310.289,106.484,-88.145
313.493,106.484,-87.572
316.698,106.484,-85.274
319.902,106.484,-86.996
323.106,106.484,-84.276
326.311,106.484,-85.671
137.250,109.282,-81.414
140.455,109.282,-80.791
143.659,109.282,-81.291
146.863,109.282,-81.482
150.068,109.282,-80.883
153.272,109.282,-80.781
156.477,109.282,-80.921
159.681,109.282,-81.456
162.886,109.282,-79.455
166.090,109.282,-79.953
169.294,109.282,-78.951
172.499,109.282,-80.069
175.703,109.282,-78.888
178.908,109.282,-80.578
182.112,109.282,-80.207
185.316,109.282,-79.831
188.521,109.282,-80.069
191.725,109.282,-79.584
194.930,109.282,-80.750
198.134,109.282,-80.670
201.339,109.282,-80.359
204.543,109.282,-80.319
207.747,109.282,-80.870
210.952,109.282,-80.046
214.156,109.282,-80.936
217.361,109.282,-81.298
220.565,109.282,-82.025
223.769,109.282,-81.550
226.974,109.282,-81.306
230.178,109.282,-83.127
233.383,109.282,-83.386
236.587,109.282,-83.553
239.792,109.282,-84.356
242.996,109.282,-84.451
246.200,109.282,-85.809
249.405,109.282,-84.592
252.609,109.282,-85.908
255.814,109.282,-87.600
259.018,109.282,-88.365
262.222,109.282,-88.765
265.427,109.282,-88.137
