PhysicalX(mm),PhysicalY(mm),MaxAmplitude(dBm)
92.504,91.772,-95.137
95.577,91.772,-95.395
98.651,91.772,-94.984
101.724,91.772,-93.512
104.797,91.772,-92.984
107.871,91.772,-91.453
110.944,91.772,-90.786
114.017,91.772,-87.483
117.091,91.772,-87.374
120.164,91.772,-87.297
123.237,91.772,-89.694
126.311,91.772,-88.945
129.384,91.772,-89.874
132.457,91.772,-87.819
135.531,91.772,-87.038
138.604,91.772,-89.628
141.677,91.772,-89.279
144.751,91.772,-88.007
147.824,91.772,-88.282
150.897,91.772,-89.124
153.971,91.772,-89.211
157.044,91.772,-88.935
160.117,91.772,-90.167
163.191,91.772,-89.299
166.264,91.772,-90.731
169.337,91.772,-88.388
172.411,91.772,-87.155
175.484,91.772,-87.625
-5.843,95.266,-87.488
-2.770,95.266,-86.542
0.304,95.266,-87.025
3.377,95.266,-87.482
6.450,95.266,-87.360
9.524,95.266,-86.508
12.597,95.266,-87.278
15.670,95.266,-88.090
18.744,95.266,-87.261
21.817,95.266,-88.510
24.890,95.266,-90.122
27.964,95.266,-89.541
31.037,95.266,-87.835
34.111,95.266,-89.318
37.184,95.266,-89.780
40.257,95.266,-91.370
43.331,95.266,-89.428
46.404,95.266,-91.373
49.477,95.266,-92.122
52.551,95.266,-92.048
55.624,95.266,-92.219
58.697,95.266,-93.150
61.771,95.266,-93.520
64.844,95.266,-94.642
67.917,95.266,-95.197
70.991,95.266,-95.676
74.064,95.266,-95.510
77.137,95.266,-93.431
80.211,95.266,-96.826
83.284,95.266,-95.745
86.357,95.266,-95.877
89.431,95.266,-95.133
92.504,95.266,-95.630
95.577,95.266,-94.203
98.651,95.266,-93.929
101.724,95.266,-94.515
104.797,95.266,-93.650
107.871,95.266,-94.247
110.944,95.266,-89.755
114.017,95.266,-88.423
117.091,95.266,-90.009
120.164,95.266,-87.808
123.237,95.266,-89.411
126.311,95.266,-87.090
129.384,95.266,-89.473
132.457,95.266,-88.584
135.531,95.266,-90.148
138.604,95.266,-88.095
141.677,95.266,-89.719
144.751,95.266,-89.160
147.824,95.266,-91.202
150.897,95.266,-90.101
153.971,95.266,-89.320
157.044,95.266,-89.094
160.117,95.266,-88.131
163.191,95.266,-89.367
166.264,95.266,-88.896
169.337,95.266,-88.282
172.411,95.266,-88.277
175.484,95.266,-87.857
-5.843,98.760,-86.005
-2.770,98.760,-84.967
0.304,98.760,-87.071
3.377,98.760,-87.434
6.450,98.760,-86.869
9.524,98.760,-87.939
12.597,98.760,-87.193
15.670,98.760,-88.304
18.744,98.760,-87.873
21.817,98.760,-87.909
24.890,98.760,-89.107
27.964,98.760,-88.174
31.037,98.760,-89.676
34.111,98.760,-89.920
37.184,98.760,-89.980
40.257,98.760,-90.516
43.331,98.760,-89.682
46.404,98.760,-89.533
49.477,98.760,-91.063
52.551,98.760,-92.513
55.624,98.760,-92.982
58.697,98.760,-92.266
61.771,98.760,-91.825
64.844,98.760,-94.426
67.917,98.760,-93.646
70.991,98.760,-94.598
74.064,98.760,-96.027
77.137,98.760,-95.731
80.211,98.760,-95.590
83.284,98.760,-93.204
86.357,98.760,-94.978
89.431,98.760,-94.927
92.504,98.760,-95.291
95.577,98.760,-95.335
98.651,98.760,-94.707
101.724,98.760,-94.282
104.797,98.760,-92.466
107.871,98.760,-91.691
110.944,98.760,-89.022
114.017,98.760,-86.778
117.091,98.760,-87.710
120.164,98.760,-89.475
123.237,98.760,-88.259
