PhysicalX(mm),PhysicalY(mm),MaxAmplitude(dBm)
216.121,153.185,-86.530
220.631,153.185,-86.257
225.142,153.185,-88.574
229.652,153.185,-88.591
234.162,153.185,-87.977
238.672,153.185,-88.974
243.182,153.185,-89.259
247.692,153.185,-86.684
252.203,153.185,-87.941
256.713,153.185,-86.819
261.223,153.185,-89.013
265.733,153.185,-87.883
270.243,153.185,-87.509
