PhysicalX(mm),PhysicalY(mm),MaxAmplitude(dBm)
-31.868,90.824,-94.970
-28.617,90.824,-93.681
-25.365,90.824,-93.770
-22.113,90.824,-92.805
-18.862,90.824,-92.948
-15.610,90.824,-94.431
-12.358,90.824,-93.681
-9.106,90.824,-94.240
-5.855,90.824,-94.184
-2.603,90.824,-93.781
0.649,90.824,-94.976
3.900,90.824,-92.748
7.152,90.824,-94.798
10.404,90.824,-93.716
13.656,90.824,-94.173
16.907,90.824,-95.275
20.159,90.824,-94.789
23.411,90.824,-95.254
26.663,90.824,-92.749
29.914,90.824,-94.365
33.166,90.824,-93.985
36.418,90.824,-93.419
39.669,90.824,-93.670
42.921,90.824,-94.639
46.173,90.824,-95.215
49.425,90.824,-96.049
52.676,90.824,-93.449
55.928,90.824,-95.650
59.180,90.824,-93.947
62.431,90.824,-94.473
65.683,90.824,-94.686
68.935,90.824,-94.839
72.187,90.824,-93.398
75.438,90.824,-94.948
78.690,90.824,-94.225
81.942,90.824,-93.530
85.193,90.824,-94.749
88.445,90.824,-95.870
91.697,90.824,-94.274
94.949,90.824,-94.849
98.200,90.824,-94.539
101.452,90.824,-93.404
104.704,90.824,-95.676
107.956,90.824,-95.122
111.207,90.824,-92.788
114.459,90.824,-93.004
117.711,90.824,-94.329
120.962,90.824,-94.576
124.214,90.824,-93.714
127.466,90.824,-95.689
130.718,90.824,-94.687
133.969,90.824,-94.410
137.221,90.824,-94.891
140.473,90.824,-95.928
143.724,90.824,-94.163
146.976,90.824,-94.580
150.228,90.824,-95.589
153.480,90.824,-94.194
156.731,90.824,-92.399
159.983,90.824,-93.560
-31.868,94.359,-94.132
-28.617,94.359,-93.596
-25.365,94.359,-94.228
-22.113,94.359,-94.770
-18.862,94.359,-93.392
-15.610,94.359,-95.362
-12.358,94.359,-92.635
-9.106,94.359,-93.878
-5.855,94.359,-94.472
-2.603,94.359,-92.794
0.649,94.359,-93.543
3.900,94.359,-94.852
7.152,94.359,-95.315
10.404,94.359,-93.843
13.656,94.359,-94.669
16.907,94.359,-94.292
20.159,94.359,-93.760
23.411,94.359,-95.388
26.663,94.359,-94.129
29.914,94.359,-94.573
33.166,94.359,-94.639
36.418,94.359,-95.302
39.669,94.359,-93.907
42.921,94.359,-94.919
46.173,94.359,-95.584
49.425,94.359,-94.482
52.676,94.359,-94.279
55.928,94.359,-95.276
59.180,94.359,-95.532
62.431,94.359,-92.987
65.683,94.359,-94.708
68.935,94.359,-93.322
72.187,94.359,-93.107
75.438,94.359,-95.565
78.690,94.359,-95.998
81.942,94.359,-94.259
85.193,94.359,-94.373
88.445,94.359,-92.147
91.697,94.359,-94.279
94.949,94.359,-93.926
98.200,94.359,-94.276
101.452,94.359,-94.991
104.704,94.359,-93.454
107.956,94.359,-94.615
111.207,94.359,-95.238
114.459,94.359,-95.753
117.711,94.359,-93.426
120.962,94.359,-94.247
124.214,94.359,-94.661
127.466,94.359,-93.366
130.718,94.359,-93.896
133.969,94.359,-93.363
137.221,94.359,-95.404
140.473,94.359,-95.031
143.724,94.359,-94.036
146.976,94.359,-94.127
150.228,94.359,-93.065
153.480,94.359,-95.568
156.731,94.359,-94.382
159.983,94.359,-93.428
-31.868,97.893,-94.730
-28.617,97.893,-93.261
-25.365,97.893,-95.891
-22.113,97.893,-94.113
-18.862,97.893,-94.230
-15.610,97.893,-94.940
-12.358,97.893,-94.559
-9.106,97.893,-94.276
-5.855,97.893,-95.111
-2.603,97.893,-95.987
0.649,97.893,-93.810
3.900,97.893,-95.135
