PhysicalX(mm),PhysicalY(mm),MaxAmplitude(dBm)
132.617,109.554,-89.712
135.733,109.554,-88.670
138.848,109.554,-88.769
141.964,109.554,-89.083
145.080,109.554,-87.488
148.195,109.554,-89.191
151.311,109.554,-88.919
154.426,109.554,-88.456
157.542,109.554,-89.208
160.657,109.554,-89.176
163.773,109.554,-87.876
166.888,109.554,-89.207
170.004,109.554,-89.265
173.119,109.554,-88.943
176.235,109.554,-88.581
179.351,109.554,-88.721
182.466,109.554,-89.278
185.582,109.554,-89.369
188.697,109.554,-88.593
191.813,109.554,-88.255
194.928,109.554,-88.706
198.044,109.554,-88.331
201.159,109.554,-87.442
204.275,109.554,-87.526
207.390,109.554,-88.071
210.506,109.554,-88.792
213.622,109.554,-87.228
216.737,109.554,-86.925
219.853,109.554,-88.950
222.968,109.554,-87.359
226.084,109.554,-88.800
229.199,109.554,-87.504
232.315,109.554,-87.924
235.430,109.554,-89.135
238.546,109.554,-88.338
241.661,109.554,-88.246
244.777,109.554,-88.465
247.893,109.554,-88.849
251.008,109.554,-85.418
254.124,109.554,-88.752
257.239,109.554,-89.673
260.355,109.554,-88.977
263.470,109.554,-87.841
266.586,109.554,-89.191
269.701,109.554,-88.703
272.817,109.554,-87.977
275.932,109.554,-89.270
279.048,109.554,-89.491
282.164,109.554,-90.142
285.279,109.554,-89.409
288.395,109.554,-90.033
291.510,109.554,-90.040
294.626,109.554,-89.711
297.741,109.554,-90.177
300.857,109.554,-89.997
303.972,109.554,-86.641
307.088,109.554,-87.218
310.203,109.554,-86.352
313.319,109.554,-84.744
316.435,109.554,-85.690
132.617,113.116,-89.064
135.733,113.116,-88.742
138.848,113.116,-88.605
141.964,113.116,-89.482
145.080,113.116,-89.596
148.195,113.116,-89.347
151.311,113.116,-89.256
154.426,113.116,-88.047
157.542,113.116,-89.506
160.657,113.116,-88.990
163.773,113.116,-88.083
166.888,113.116,-89.852
170.004,113.116,-87.672
173.119,113.116,-88.768
176.235,113.116,-87.598
179.351,113.116,-87.621
182.466,113.116,-89.454
185.582,113.116,-89.293
188.697,113.116,-88.874
191.813,113.116,-88.924
194.928,113.116,-89.239
198.044,113.116,-88.463
201.159,113.116,-87.741
204.275,113.116,-88.689
207.390,113.116,-88.532
210.506,113.116,-87.380
213.622,113.116,-88.839
216.737,113.116,-87.866
219.853,113.116,-88.375
222.968,113.116,-88.239
226.084,113.116,-88.780
229.199,113.116,-88.469
232.315,113.116,-89.213
235.430,113.116,-89.271
238.546,113.116,-88.742
241.661,113.116,-89.601
244.777,113.116,-88.302
247.893,113.116,-88.507
251.008,113.116,-88.837
254.124,113.116,-89.110
257.239,113.116,-89.801
260.355,113.116,-89.175
263.470,113.116,-89.897
266.586,113.116,-88.768
269.701,113.116,-85.422
272.817,113.116,-89.283
275.932,113.116,-89.672
279.048,113.116,-90.315
282.164,113.116,-90.848
285.279,113.116,-91.605
288.395,113.116,-88.665
291.510,113.116,-85.496
294.626,113.116,-89.758
297.741,113.116,-84.224
300.857,113.116,-86.991
303.972,113.116,-89.373
307.088,113.116,-88.008
310.203,113.116,-90.316
313.319,113.116,-90.583
316.435,113.116,-90.792
132.617,116.678,-88.451
135.733,116.678,-88.564
138.848,116.678,-88.168
141.964,116.678,-88.717
145.080,116.678,-89.063
148.195,116.678,-89.747
151.311,116.678,-87.867
154.426,116.678,-89.131
157.542,116.678,-89.038
160.657,116.678,-88.751
163.773,116.678,-89.353
166.888,116.678,-89.734
170.004,116.678,-89.736
173.119,116.678,-89.462
176.235,116.678,-89.489
179.351,116.678,-87.934
182.466,116.678,-88.458
185.582,116.678,-87.595
188.697,116.678,-89.687
191.813,116.678,-88.637
194.928,116.678,-88.406
198.044,116.678,-88.835
201.159,116.678,-89.033
204.275,116.678,-88.659
207.390,116.678,-88.887
210.506,116.678,-88.987
213.622,116.678,-88.867
216.737,116.678,-87.785
219.853,116.678,-88.700
222.968,116.678,-89.220
226.084,116.678,-88.956
229.199,116.678,-89.501
232.315,116.678,-89.826
235.430,116.678,-89.396
238.546,116.678,-89.243
241.661,116.678,-89.385
244.777,116.678,-87.577
247.893,116.678,-88.491
251.008,116.678,-89.639
254.124,116.678,-89.548
257.239,116.678,-88.451
260.355,116.678,-88.618
263.470,116.678,-87.787
266.586,116.678,-90.734
269.701,116.678,-87.940
272.817,116.678,-89.252
275.932,116.678,-89.814
279.048,116.678,-89.012
282.164,116.678,-90.953
285.279,116.678,-91.393
288.395,116.678,-88.238
291.510,116.678,-86.803
294.626,116.678,-89.191
297.741,116.678,-89.746
300.857,116.678,-90.255
303.972,116.678,-90.306
307.088,116.678,-90.738
310.203,116.678,-90.253
313.319,116.678,-88.741
316.435,116.678,-91.308
132.617,120.241,-88.857
135.733,120.241,-88.733
138.848,120.241,-89.981
141.964,120.241,-89.360
145.080,120.241,-88.469
148.195,120.241,-89.913
151.311,120.241,-88.716
154.426,120.241,-89.608
157.542,120.241,-89.723
160.657,120.241,-89.420
163.773,120.241,-89.257
166.888,120.241,-89.218
170.004,120.241,-89.698
173.119,120.241,-88.373
176.235,120.241,-88.788
179.351,120.241,-89.188
182.466,120.241,-89.018
185.582,120.241,-90.265
188.697,120.241,-88.939
191.813,120.241,-88.797
194.928,120.241,-88.418
198.044,120.241,-88.806
201.159,120.241,-89.112
204.275,120.241,-88.588
207.390,120.241,-89.014
210.506,120.241,-87.618
213.622,120.241,-87.727
216.737,120.241,-89.805
219.853,120.241,-88.140
222.968,120.241,-88.228
226.084,120.241,-89.438
229.199,120.241,-88.699
232.315,120.241,-89.624
235.430,120.241,-90.101
238.546,120.241,-89.390
241.661,120.241,-86.541
244.777,120.241,-89.676
247.893,120.241,-89.126
251.008,120.241,-88.387
254.124,120.241,-88.885
257.239,120.241,-89.746
260.355,120.241,-89.382
263.470,120.241,-89.896
266.586,120.241,-88.314
269.701,120.241,-89.394
272.817,120.241,-89.788
275.932,120.241,-90.222
279.048,120.241,-88.534
282.164,120.241,-90.763
285.279,120.241,-90.267
288.395,120.241,-91.546
291.510,120.241,-91.206
294.626,120.241,-88.393
297.741,120.241,-88.648
300.857,120.241,-86.407
303.972,120.241,-89.868
307.088,120.241,-91.104
310.203,120.241,-89.755
313.319,120.241,-89.166
316.435,120.241,-91.838
132.617,123.803,-88.641
135.733,123.803,-88.924
138.848,123.803,-89.387
141.964,123.803,-89.739
145.080,123.803,-89.636
148.195,123.803,-88.344
151.311,123.803,-89.991
154.426,123.803,-90.058
157.542,123.803,-90.075
160.657,123.803,-89.626
163.773,123.803,-89.717
166.888,123.803,-89.570
170.004,123.803,-89.779
173.119,123.803,-90.631
176.235,123.803,-90.041
179.351,123.803,-88.129
182.466,123.803,-90.152
185.582,123.803,-87.925
188.697,123.803,-89.663
191.813,123.803,-89.267
194.928,123.803,-88.985
198.044,123.803,-89.303
201.159,123.803,-87.935
204.275,123.803,-89.845
207.390,123.803,-88.857
210.506,123.803,-89.485
213.622,123.803,-87.767
216.737,123.803,-88.323
219.853,123.803,-89.299
222.968,123.803,-89.434
226.084,123.803,-88.328
229.199,123.803,-89.518
232.315,123.803,-89.693
235.430,123.803,-87.325
238.546,123.803,-90.129
241.661,123.803,-87.427
244.777,123.803,-88.929
247.893,123.803,-90.161
251.008,123.803,-90.725
254.124,123.803,-89.236
257.239,123.803,-89.148
260.355,123.803,-90.471
263.470,123.803,-89.806
266.586,123.803,-86.775
269.701,123.803,-89.693
272.817,123.803,-88.922
275.932,123.803,-84.541
279.048,123.803,-90.309
282.164,123.803,-90.340
285.279,123.803,-90.442
288.395,123.803,-90.820
291.510,123.803,-88.870
294.626,123.803,-89.545
297.741,123.803,-88.858
300.857,123.803,-88.374
303.972,123.803,-92.277
307.088,123.803,-92.100
310.203,123.803,-91.308
313.319,123.803,-92.817
316.435,123.803,-92.643
132.617,127.365,-88.828
135.733,127.365,-89.211
138.848,127.365,-90.399
141.964,127.365,-90.996
145.080,127.365,-89.381
148.195,127.365,-90.895
151.311,127.365,-90.569
154.426,127.365,-91.218
157.542,127.365,-89.909
160.657,127.365,-91.382
163.773,127.365,-90.465
166.888,127.365,-90.412
170.004,127.365,-90.039
173.119,127.365,-90.467
176.235,127.365,-90.603
179.351,127.365,-90.137
182.466,127.365,-90.066
185.582,127.365,-90.320
188.697,127.365,-88.415
191.813,127.365,-87.851
194.928,127.365,-89.368
198.044,127.365,-89.152
201.159,127.365,-88.950
204.275,127.365,-89.219
207.390,127.365,-89.242
210.506,127.365,-90.073
213.622,127.365,-88.882
216.737,127.365,-89.541
219.853,127.365,-89.482
222.968,127.365,-88.422
226.084,127.365,-89.306
229.199,127.365,-90.351
232.315,127.365,-89.237
235.430,127.365,-88.547
238.546,127.365,-87.752
241.661,127.365,-90.691
244.777,127.365,-89.768
247.893,127.365,-89.844
251.008,127.365,-90.664
254.124,127.365,-85.126
257.239,127.365,-90.835
260.355,127.365,-90.811
263.470,127.365,-90.078
266.586,127.365,-91.222
269.701,127.365,-88.284
272.817,127.365,-88.589
275.932,127.365,-86.627
279.048,127.365,-90.889
282.164,127.365,-90.773
285.279,127.365,-88.027
288.395,127.365,-88.133
291.510,127.365,-88.992
294.626,127.365,-91.892
297.741,127.365,-91.115
300.857,127.365,-90.810
303.972,127.365,-87.202
307.088,127.365,-88.003
310.203,127.365,-89.134
313.319,127.365,-88.051
316.435,127.365,-90.708
132.617,130.928,-90.243
135.733,130.928,-90.461
138.848,130.928,-90.980
141.964,130.928,-91.219
145.080,130.928,-90.492
148.195,130.928,-91.220
151.311,130.928,-91.378
154.426,130.928,-90.568
157.542,130.928,-90.308
160.657,130.928,-90.315
163.773,130.928,-91.366
166.888,130.928,-90.811
170.004,130.928,-89.599
173.119,130.928,-90.063
176.235,130.928,-89.823
179.351,130.928,-88.841
182.466,130.928,-88.610
185.582,130.928,-90.222
188.697,130.928,-90.053
191.813,130.928,-89.697
194.928,130.928,-89.634
198.044,130.928,-89.004
201.159,130.928,-89.234
204.275,130.928,-88.862
207.390,130.928,-88.478
210.506,130.928,-89.344
213.622,130.928,-89.571
216.737,130.928,-90.319
219.853,130.928,-88.580
222.968,130.928,-89.280
226.084,130.928,-89.283
229.199,130.928,-87.565
232.315,130.928,-88.371
235.430,130.928,-90.330
238.546,130.928,-89.268
241.661,130.928,-89.502
244.777,130.928,-88.612
247.893,130.928,-90.036
251.008,130.928,-90.079
254.124,130.928,-88.915
257.239,130.928,-90.059
260.355,130.928,-86.265
263.470,130.928,-90.303
266.586,130.928,-88.547
269.701,130.928,-87.577
272.817,130.928,-90.408
275.932,130.928,-90.082
279.048,130.928,-90.173
282.164,130.928,-90.701
285.279,130.928,-91.417
288.395,130.928,-90.272
291.510,130.928,-87.516
294.626,130.928,-91.518
297.741,130.928,-89.558
300.857,130.928,-90.981
303.972,130.928,-91.798
307.088,130.928,-91.422
310.203,130.928,-87.236
313.319,130.928,-91.434
316.435,130.928,-92.005
132.617,134.490,-90.531
135.733,134.490,-89.730
138.848,134.490,-90.760
141.964,134.490,-90.494
145.080,134.490,-90.687
148.195,134.490,-91.235
151.311,134.490,-90.218
154.426,134.490,-90.399
157.542,134.490,-90.342
160.657,134.490,-90.573
163.773,134.490,-90.853
166.888,134.490,-89.810
170.004,134.490,-88.755
173.119,134.490,-89.386
176.235,134.490,-88.163
179.351,134.490,-89.626
182.466,134.490,-89.133
185.582,134.490,-89.572
188.697,134.490,-89.139
191.813,134.490,-88.637
194.928,134.490,-89.677
198.044,134.490,-89.050
201.159,134.490,-88.248
204.275,134.490,-88.618
207.390,134.490,-89.176
210.506,134.490,-89.100
213.622,134.490,-89.388
216.737,134.490,-88.922
219.853,134.490,-88.621
222.968,134.490,-88.149
226.084,134.490,-88.585
229.199,134.490,-89.376
232.315,134.490,-89.961
235.430,134.490,-88.577
238.546,134.490,-90.313
241.661,134.490,-90.486
244.777,134.490,-90.615
247.893,134.490,-90.777
251.008,134.490,-90.100
254.124,134.490,-91.491
257.239,134.490,-89.870
260.355,134.490,-91.154
263.470,134.490,-91.282
266.586,134.490,-92.367
269.701,134.490,-90.399
272.817,134.490,-90.172
275.932,134.490,-90.849
279.048,134.490,-89.100
282.164,134.490,-91.673
285.279,134.490,-91.815
288.395,134.490,-86.429
291.510,134.490,-91.137
294.626,134.490,-86.837
297.741,134.490,-91.344
300.857,134.490,-90.430
303.972,134.490,-88.360
307.088,134.490,-90.476
310.203,134.490,-91.813
313.319,134.490,-91.874
316.435,134.490,-85.047
132.617,138.052,-90.589
135.733,138.052,-91.042
138.848,138.052,-91.037
141.964,138.052,-90.554
145.080,138.052,-90.656
148.195,138.052,-89.435
151.311,138.052,-91.138
154.426,138.052,-90.237
157.542,138.052,-90.095
160.657,138.052,-88.533
163.773,138.052,-89.421
166.888,138.052,-89.839
170.004,138.052,-89.156
173.119,138.052,-89.176
176.235,138.052,-89.180
179.351,138.052,-88.482
182.466,138.052,-88.814
185.582,138.052,-89.274
188.697,138.052,-88.104
191.813,138.052,-88.484
194.928,138.052,-89.327
198.044,138.052,-88.756
201.159,138.052,-88.994
204.275,138.052,-88.908
207.390,138.052,-86.738
210.506,138.052,-88.214
213.622,138.052,-88.636
216.737,138.052,-88.633
219.853,138.052,-89.386
222.968,138.052,-88.623
226.084,138.052,-90.045
229.199,138.052,-88.895
232.315,138.052,-89.391
235.430,138.052,-88.773
238.546,138.052,-90.226
241.661,138.052,-89.804
244.777,138.052,-87.588
247.893,138.052,-89.317
251.008,138.052,-90.069
254.124,138.052,-89.792
257.239,138.052,-88.739
260.355,138.052,-90.728
263.470,138.052,-91.085
266.586,138.052,-90.539
269.701,138.052,-90.651
272.817,138.052,-91.194
275.932,138.052,-91.116
279.048,138.052,-90.588
282.164,138.052,-88.537
285.279,138.052,-92.038
288.395,138.052,-92.349
291.510,138.052,-92.200
294.626,138.052,-92.129
297.741,138.052,-91.832
300.857,138.052,-92.248
303.972,138.052,-86.884
307.088,138.052,-87.289
310.203,138.052,-90.218
313.319,138.052,-86.179
316.435,138.052,-85.453
132.617,141.615,-89.744
135.733,141.615,-91.078
138.848,141.615,-89.312
141.964,141.615,-89.683
145.080,141.615,-89.480
148.195,141.615,-88.404
151.311,141.615,-90.011
154.426,141.615,-90.224
157.542,141.615,-89.801
160.657,141.615,-89.914
163.773,141.615,-88.980
166.888,141.615,-89.290
170.004,141.615,-88.461
173.119,141.615,-88.469
176.235,141.615,-87.739
179.351,141.615,-87.795
182.466,141.615,-86.657
185.582,141.615,-88.624
188.697,141.615,-88.014
191.813,141.615,-87.616
194.928,141.615,-87.763
198.044,141.615,-88.210
201.159,141.615,-87.819
204.275,141.615,-87.787
207.390,141.615,-87.749
210.506,141.615,-86.969
213.622,141.615,-87.144
216.737,141.615,-88.178
219.853,141.615,-87.725
222.968,141.615,-88.878
226.084,141.615,-87.796
229.199,141.615,-89.535
232.315,141.615,-89.068
235.430,141.615,-88.679
238.546,141.615,-89.329
241.661,141.615,-89.428
244.777,141.615,-89.968
247.893,141.615,-89.077
251.008,141.615,-90.423
254.124,141.615,-88.904
257.239,141.615,-91.667
260.355,141.615,-89.213
263.470,141.615,-87.874
266.586,141.615,-89.580
269.701,141.615,-91.718
272.817,141.615,-85.814
275.932,141.615,-92.777
279.048,141.615,-92.774
282.164,141.615,-90.729
285.279,141.615,-92.968
288.395,141.615,-85.971
291.510,141.615,-87.657
294.626,141.615,-86.444
297.741,141.615,-92.051
300.857,141.615,-92.058
303.972,141.615,-91.687
307.088,141.615,-92.637
310.203,141.615,-93.117
313.319,141.615,-83.924
316.435,141.615,-87.713
132.617,145.177,-90.655
135.733,145.177,-88.417
138.848,145.177,-88.863
141.964,145.177,-90.528
145.080,145.177,-90.257
148.195,145.177,-90.195
151.311,145.177,-87.899
154.426,145.177,-88.864
157.542,145.177,-88.974
160.657,145.177,-88.889
163.773,145.177,-87.109
166.888,145.177,-87.714
170.004,145.177,-88.086
173.119,145.177,-86.462
176.235,145.177,-87.789
179.351,145.177,-85.929
182.466,145.177,-87.157
185.582,145.177,-87.026
188.697,145.177,-88.123
191.813,145.177,-86.507
194.928,145.177,-85.670
198.044,145.177,-87.320
201.159,145.177,-87.304
204.275,145.177,-87.583
207.390,145.177,-88.039
210.506,145.177,-87.787
213.622,145.177,-87.930
216.737,145.177,-87.008
219.853,145.177,-86.923
222.968,145.177,-88.923
226.084,145.177,-86.310
229.199,145.177,-88.321
232.315,145.177,-88.842
235.430,145.177,-89.159
238.546,145.177,-88.658
241.661,145.177,-89.792
244.777,145.177,-89.889
247.893,145.177,-89.119
251.008,145.177,-89.070
254.124,145.177,-90.725
257.239,145.177,-90.451
260.355,145.177,-89.058
263.470,145.177,-85.927
266.586,145.177,-87.333
269.701,145.177,-89.643
